method,split,stress_level,success,ci95_success,containment_rate,ci95_containment_rate,cascade_rate,ci95_cascade_rate,state_corruption,ci95_state_corruption,subgoal_corruption,ci95_subgoal_corruption,damage_rate,ci95_damage_rate,false_halt,ci95_false_halt,missed_failure,ci95_missed_failure,recovery_success,ci95_recovery_success,escalation_precision,ci95_escalation_precision,containment_latency,ci95_containment_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility,groups
causal_event_graph_containment,stress_00,0.05,0.738194,0.012309,0.526736,0.015015,0.082986,0.0134,0.020139,0.005444,0.027778,0.005463,0.006944,0.003044,0.022222,0.006352,0.162153,0.018431,0.45625,0.019441,0.612847,0.019679,0.559145,0.000433,0.0032,5.2e-05,0.192708,0.01824,0.589879,0.017181,10
causal_event_graph_containment,stress_01,0.15,0.725347,0.009378,0.524306,0.020915,0.091667,0.013844,0.024306,0.007455,0.03507,0.005411,0.005555,0.00324,0.025695,0.005093,0.176736,0.016467,0.448611,0.015379,0.617361,0.020637,0.578207,0.00057,0.003327,5.9e-05,0.208333,0.015453,0.555989,0.018007,10
causal_event_graph_containment,stress_02,0.25,0.713889,0.011796,0.521528,0.016909,0.098264,0.012835,0.028125,0.007277,0.033681,0.005743,0.011111,0.00428,0.025,0.00428,0.188194,0.012582,0.429861,0.022036,0.601736,0.018093,0.597273,0.000606,0.005006,5.4e-05,0.211458,0.016653,0.523154,0.011871,10
causal_event_graph_containment,stress_03,0.35,0.710417,0.010155,0.514236,0.010269,0.101041,0.012108,0.035417,0.005444,0.03125,0.005649,0.012847,0.003936,0.033333,0.006352,0.216667,0.013881,0.420139,0.016854,0.592708,0.021282,0.616658,0.000614,0.009391,9.4e-05,0.21875,0.016073,0.491663,0.013705,10
causal_event_graph_containment,stress_04,0.45,0.699305,0.008065,0.517709,0.011134,0.110417,0.01322,0.04132,0.005779,0.031945,0.00804,0.013542,0.00328,0.034375,0.006125,0.226389,0.013829,0.414583,0.01649,0.5875,0.020587,0.635695,0.000503,0.016225,0.000127,0.224306,0.011442,0.462117,0.013203,10
causal_event_graph_containment,stress_05,0.55,0.687153,0.017111,0.523958,0.01729,0.12118,0.010168,0.045486,0.007486,0.044097,0.008369,0.015278,0.002722,0.033333,0.008192,0.236805,0.010386,0.414236,0.01795,0.58125,0.018519,0.655125,0.000539,0.024201,0.000131,0.237847,0.018353,0.426306,0.020412,10
causal_event_graph_containment,stress_06,0.65,0.681944,0.020522,0.512153,0.017014,0.127778,0.012984,0.047917,0.007975,0.04757,0.006959,0.019445,0.00456,0.038195,0.00896,0.257639,0.004627,0.406944,0.017712,0.583681,0.020378,0.674771,0.000502,0.033054,0.000151,0.240278,0.020612,0.392894,0.02438,10
causal_event_graph_containment,stress_07,0.75,0.65,0.021324,0.485417,0.016002,0.130555,0.01065,0.052778,0.008891,0.049306,0.007231,0.02257,0.004214,0.042361,0.006237,0.267361,0.015386,0.413542,0.017731,0.572917,0.020316,0.69222,0.000488,0.041819,9.1e-05,0.27118,0.021484,0.340275,0.024692,10
causal_event_graph_containment,stress_08,0.85,0.653125,0.015063,0.476736,0.014808,0.13507,0.013128,0.051389,0.008715,0.056597,0.007249,0.026042,0.006108,0.044097,0.007389,0.290972,0.020959,0.403472,0.015007,0.566667,0.014695,0.707404,0.000453,0.050869,0.000134,0.253819,0.015666,0.317998,0.025785,10
causal_event_graph_containment,stress_09,0.95,0.657986,0.016831,0.486111,0.017834,0.140972,0.009364,0.049306,0.008833,0.064236,0.009201,0.027431,0.006764,0.04757,0.005373,0.304514,0.013307,0.407639,0.013467,0.567361,0.017665,0.72192,0.000629,0.059859,0.000161,0.237153,0.022367,0.306149,0.017683,10
failure_aware_hierarchical_controller,stress_00,0.05,0.702083,0.015075,0.488542,0.026476,0.109722,0.011076,0.040278,0.006019,0.045486,0.006372,0.016667,0.003903,0.052778,0.010631,0.192014,0.017719,0.411806,0.020697,0.565972,0.013189,0.596539,0.000469,0.006803,0.000173,0.228819,0.01984,0.468168,0.017628,10
failure_aware_hierarchical_controller,stress_01,0.15,0.684028,0.009784,0.474305,0.02642,0.117361,0.007845,0.047222,0.00856,0.05,0.00478,0.019097,0.004214,0.055903,0.010218,0.216319,0.019959,0.409375,0.01833,0.565278,0.012334,0.615864,0.000593,0.013244,0.000191,0.249653,0.015959,0.419527,0.011735,10
failure_aware_hierarchical_controller,stress_02,0.25,0.685764,0.016145,0.474306,0.025387,0.126389,0.008798,0.055556,0.010145,0.057292,0.008258,0.022917,0.004445,0.055556,0.008902,0.234722,0.02027,0.390972,0.016645,0.563194,0.014412,0.635344,0.000554,0.021427,0.000183,0.239583,0.019751,0.390731,0.018375,10
failure_aware_hierarchical_controller,stress_03,0.35,0.666667,0.016105,0.462847,0.010834,0.132986,0.013423,0.05625,0.012081,0.060417,0.007673,0.026736,0.004655,0.054167,0.004328,0.262847,0.015421,0.399306,0.021545,0.549653,0.017632,0.654416,0.000666,0.030356,0.000241,0.2625,0.02174,0.344822,0.024055,10
failure_aware_hierarchical_controller,stress_04,0.45,0.648611,0.019823,0.465972,0.010582,0.136805,0.016175,0.053472,0.00627,0.069097,0.012235,0.02882,0.005276,0.056944,0.007116,0.271181,0.016373,0.391319,0.015488,0.543403,0.018686,0.673746,0.000672,0.040019,0.000242,0.275,0.025032,0.310689,0.023395,10
failure_aware_hierarchical_controller,stress_05,0.55,0.638889,0.021664,0.467708,0.013499,0.149653,0.018189,0.068056,0.011261,0.067014,0.012427,0.035069,0.006291,0.062153,0.008017,0.292708,0.015118,0.382292,0.01699,0.529167,0.01627,0.69329,0.000629,0.049869,0.000262,0.286111,0.029108,0.262757,0.027716,10
failure_aware_hierarchical_controller,stress_06,0.65,0.6375,0.01781,0.451736,0.019073,0.161111,0.016521,0.072569,0.014328,0.075695,0.011469,0.039236,0.006733,0.062153,0.005689,0.314236,0.014103,0.379514,0.019143,0.529167,0.01272,0.712628,0.000704,0.059774,0.000179,0.284722,0.025302,0.228184,0.028876,10
failure_aware_hierarchical_controller,stress_07,0.75,0.629167,0.019324,0.458681,0.016653,0.168403,0.01312,0.078472,0.014426,0.08125,0.012475,0.036458,0.009088,0.072917,0.006496,0.325695,0.015873,0.369444,0.016239,0.521875,0.012176,0.729762,0.00074,0.069121,0.000168,0.292014,0.022854,0.199068,0.027277,10
failure_aware_hierarchical_controller,stress_08,0.85,0.619792,0.020847,0.443056,0.019937,0.177083,0.009463,0.084028,0.011196,0.088889,0.014319,0.042708,0.006579,0.080556,0.008292,0.33125,0.016428,0.360417,0.018227,0.512847,0.015653,0.744737,0.000736,0.07807,0.00019,0.287153,0.019673,0.159854,0.029161,10
failure_aware_hierarchical_controller,stress_09,0.95,0.604514,0.020753,0.437847,0.016246,0.184028,0.008902,0.086805,0.009888,0.084028,0.01736,0.04757,0.003803,0.078819,0.009627,0.343403,0.014891,0.357292,0.018189,0.500347,0.015567,0.758797,0.000468,0.08717,0.000202,0.290625,0.023772,0.127089,0.027854,10
hierarchical_pomdp_monitor,stress_00,0.05,0.709375,0.017397,0.502083,0.022553,0.103472,0.010135,0.026042,0.004214,0.030555,0.006714,0.011458,0.002694,0.029167,0.006104,0.189584,0.01197,0.439931,0.013307,0.590625,0.018302,0.581105,0.000628,0.003287,8.8e-05,0.221527,0.017683,0.514734,0.021057,10
hierarchical_pomdp_monitor,stress_01,0.15,0.697569,0.017556,0.495486,0.021136,0.111806,0.011011,0.033333,0.004445,0.034722,0.006254,0.01493,0.004543,0.026389,0.007937,0.209028,0.013103,0.427778,0.010775,0.592361,0.019911,0.600645,0.000407,0.004051,8.6e-05,0.236111,0.024995,0.476272,0.026212,10
hierarchical_pomdp_monitor,stress_02,0.25,0.694792,0.014857,0.492361,0.012582,0.113195,0.005193,0.040278,0.006188,0.045833,0.006866,0.016319,0.004064,0.028125,0.007134,0.217708,0.015881,0.41875,0.018295,0.582986,0.01729,0.619864,0.000413,0.00704,0.00013,0.230556,0.020944,0.453273,0.021699,10
hierarchical_pomdp_monitor,stress_03,0.35,0.682639,0.013918,0.473611,0.012392,0.115625,0.009786,0.044792,0.006209,0.04757,0.00642,0.018403,0.004871,0.028819,0.004543,0.234722,0.017401,0.413889,0.009878,0.579861,0.013228,0.638944,0.000426,0.013056,0.000111,0.246528,0.019034,0.420465,0.018593,10
hierarchical_pomdp_monitor,stress_04,0.45,0.674306,0.012785,0.470486,0.012923,0.120139,0.012475,0.050694,0.007188,0.05625,0.009063,0.025694,0.00868,0.030903,0.005315,0.247222,0.021252,0.411806,0.010406,0.576736,0.014995,0.658425,0.000532,0.020732,0.000148,0.249305,0.014869,0.383883,0.017506,10
hierarchical_pomdp_monitor,stress_05,0.55,0.663542,0.0134,0.462847,0.008963,0.126736,0.014534,0.056597,0.009943,0.056945,0.011076,0.029861,0.007043,0.037847,0.008576,0.257639,0.01434,0.410764,0.010148,0.571528,0.013079,0.67784,0.000494,0.029431,0.000153,0.261458,0.013838,0.348792,0.021805,10
hierarchical_pomdp_monitor,stress_06,0.65,0.650694,0.016365,0.463889,0.011576,0.135764,0.016653,0.059375,0.007953,0.066667,0.00679,0.035069,0.007953,0.040625,0.007319,0.270833,0.014561,0.399305,0.014311,0.545486,0.018664,0.697011,0.000512,0.038641,0.000125,0.271528,0.017828,0.306408,0.024027,10
hierarchical_pomdp_monitor,stress_07,0.75,0.654514,0.019442,0.463889,0.014568,0.132986,0.012469,0.06632,0.009595,0.071875,0.00592,0.034375,0.006125,0.051736,0.006372,0.290972,0.009981,0.390972,0.017548,0.544792,0.017614,0.714073,0.000571,0.047881,0.00013,0.266666,0.021106,0.28864,0.016245,10
hierarchical_pomdp_monitor,stress_08,0.85,0.654514,0.021043,0.474653,0.015421,0.140278,0.007469,0.072569,0.008695,0.066319,0.007822,0.033681,0.005743,0.052778,0.006637,0.317361,0.013428,0.389583,0.01466,0.528125,0.015732,0.729097,0.000543,0.056911,0.00015,0.252431,0.028785,0.268938,0.019848,10
hierarchical_pomdp_monitor,stress_09,0.95,0.643055,0.015938,0.466319,0.011658,0.145486,0.007756,0.071528,0.009794,0.069097,0.007134,0.034722,0.003658,0.055208,0.005118,0.327431,0.016043,0.378125,0.012108,0.526389,0.018931,0.743833,0.000412,0.065925,0.000207,0.252083,0.028698,0.242206,0.017413,10
option_termination_monitor,stress_00,0.05,0.65,0.013791,0.410069,0.022353,0.132639,0.009982,0.065972,0.009131,0.075695,0.00607,0.034722,0.007386,0.054167,0.007469,0.235764,0.01699,0.362153,0.009411,0.480903,0.014356,0.642436,0.000482,0.015695,0.000164,0.280903,0.022075,0.312486,0.021379,10
option_termination_monitor,stress_01,0.15,0.65,0.015841,0.405208,0.019197,0.144792,0.008369,0.070139,0.003769,0.082292,0.006656,0.038194,0.007029,0.050347,0.007472,0.253125,0.016119,0.354514,0.012891,0.479861,0.015938,0.661941,0.000494,0.024436,0.000164,0.28368,0.018653,0.285196,0.023512,10
option_termination_monitor,stress_02,0.25,0.628819,0.017731,0.406597,0.014147,0.15,0.011058,0.074653,0.009367,0.086806,0.007924,0.041667,0.006881,0.057986,0.007177,0.269792,0.017835,0.348611,0.010504,0.491319,0.021068,0.68116,0.000502,0.033976,0.000161,0.296528,0.016952,0.238359,0.023755,10
option_termination_monitor,stress_03,0.35,0.619444,0.013,0.401042,0.017696,0.149306,0.011206,0.080556,0.010582,0.0875,0.009452,0.051389,0.008103,0.059028,0.007858,0.296181,0.021784,0.357292,0.018274,0.492361,0.023896,0.700535,0.000658,0.043883,0.000153,0.309722,0.015007,0.199665,0.02673,10
option_termination_monitor,stress_04,0.45,0.601389,0.019028,0.401042,0.016953,0.161111,0.014533,0.084028,0.010186,0.098264,0.010447,0.054167,0.010256,0.064583,0.009309,0.314583,0.012055,0.353125,0.017806,0.483681,0.018459,0.71997,0.000688,0.053642,0.00019,0.322222,0.017683,0.149479,0.029164,10
option_termination_monitor,stress_05,0.55,0.599306,0.018822,0.39618,0.013816,0.175,0.017753,0.09375,0.01259,0.100347,0.01071,0.054861,0.005444,0.066667,0.007159,0.319792,0.010168,0.339931,0.013514,0.46875,0.012913,0.739597,0.000546,0.063393,0.000215,0.325694,0.020512,0.122946,0.024549,10
option_termination_monitor,stress_06,0.65,0.586111,0.016726,0.391319,0.012176,0.182986,0.014527,0.103819,0.015199,0.104167,0.010832,0.059375,0.00604,0.071875,0.006959,0.331944,0.0074,0.345486,0.009638,0.464931,0.011543,0.7588,0.000537,0.073254,0.000224,0.336111,0.019217,0.081225,0.019751,10
option_termination_monitor,stress_07,0.75,0.58368,0.018774,0.392708,0.013438,0.197917,0.015847,0.101736,0.010299,0.118056,0.012425,0.063542,0.008119,0.072569,0.007277,0.349653,0.019116,0.34132,0.017159,0.447222,0.015841,0.775909,0.000529,0.082599,0.000239,0.3375,0.018811,0.047414,0.026898,10
option_termination_monitor,stress_08,0.85,0.576736,0.01699,0.384722,0.012292,0.209028,0.015612,0.103472,0.011333,0.122222,0.01115,0.062153,0.008332,0.079861,0.006416,0.369792,0.014103,0.343403,0.017818,0.436458,0.015978,0.790996,0.000488,0.091594,0.000164,0.330208,0.023454,0.015737,0.021902,10
option_termination_monitor,stress_09,0.95,0.564583,0.017193,0.374306,0.020004,0.202778,0.013467,0.10625,0.009688,0.117361,0.010679,0.059028,0.007726,0.083333,0.013799,0.384028,0.016769,0.335417,0.01197,0.434722,0.015041,0.805561,0.000508,0.100656,0.000153,0.330556,0.023085,-0.00109,0.015059,10
oracle_containment_supervisor,stress_00,0.05,0.930903,0.013438,0.732639,0.01491,0.0125,0.004445,0.00243,0.001452,0.001736,0.001522,0.001042,0.001039,0.001389,0.001505,0.017361,0.006881,0.614236,0.017585,0.820833,0.010455,0.362143,0.000305,0.003188,5.5e-05,0.0,0.0,1.005794,0.012922,10
oracle_containment_supervisor,stress_01,0.15,0.93368,0.012851,0.723264,0.014241,0.014583,0.00301,0.001736,0.001522,0.002083,0.001505,0.00243,0.001452,0.000694,0.000907,0.03125,0.006575,0.600694,0.012793,0.809375,0.012649,0.38065,0.000514,0.003202,5.4e-05,0.0,0.0,0.994948,0.013113,10
oracle_containment_supervisor,stress_02,0.25,0.925347,0.010985,0.706944,0.01276,0.014583,0.00363,0.001389,0.001111,0.002083,0.001815,0.001736,0.001522,0.001042,0.001039,0.038889,0.0064,0.606597,0.015118,0.810417,0.015359,0.399654,0.000651,0.003205,3.1e-05,0.0,0.0,0.979948,0.01307,10
oracle_containment_supervisor,stress_03,0.35,0.929167,0.009847,0.717361,0.015123,0.016319,0.003803,0.001736,0.001134,0.001389,0.001111,0.001736,0.001829,0.002083,0.001505,0.061111,0.006352,0.614931,0.014752,0.796875,0.008563,0.418324,0.000624,0.003195,3e-05,0.0,0.0,0.970637,0.012574,10
oracle_containment_supervisor,stress_04,0.45,0.923611,0.009017,0.709375,0.017661,0.015972,0.003544,0.002083,0.001505,0.00243,0.001772,0.00243,0.00228,0.002778,0.001697,0.068055,0.009254,0.613889,0.016909,0.790972,0.010033,0.437523,0.000759,0.003231,4.8e-05,0.0,0.0,0.956551,0.014273,10
oracle_containment_supervisor,stress_05,0.55,0.925,0.008561,0.710764,0.013423,0.017708,0.003721,0.001042,0.001452,0.002083,0.001815,0.002083,0.001815,0.004167,0.001978,0.080556,0.007975,0.584722,0.018685,0.793055,0.01439,0.457513,0.00064,0.003205,5.5e-05,0.0,0.0,0.946985,0.012539,10
oracle_containment_supervisor,stress_06,0.65,0.922222,0.011442,0.712847,0.015454,0.019792,0.005078,0.001736,0.001522,0.00243,0.002042,0.001736,0.001522,0.002778,0.001978,0.101736,0.008671,0.571181,0.021407,0.781944,0.017971,0.476927,0.000557,0.003236,5.6e-05,0.0,0.0,0.929697,0.014008,10
oracle_containment_supervisor,stress_07,0.75,0.92118,0.00873,0.70625,0.018985,0.018055,0.003903,0.001736,0.002092,0.00243,0.001772,0.001389,0.001111,0.003125,0.001884,0.116319,0.010457,0.566319,0.019579,0.775,0.02445,0.493851,0.000515,0.003254,5.6e-05,0.0,0.0,0.919539,0.008739,10
oracle_containment_supervisor,stress_08,0.85,0.906945,0.012825,0.69375,0.018618,0.019444,0.005575,0.002083,0.002079,0.002083,0.001505,0.001389,0.001111,0.003125,0.001588,0.13125,0.012984,0.559722,0.016571,0.774305,0.017718,0.509025,0.000535,0.003215,5.4e-05,0.0,0.0,0.893622,0.012728,10
oracle_containment_supervisor,stress_09,0.95,0.895139,0.01613,0.695139,0.016289,0.02118,0.005868,0.001042,0.001039,0.00243,0.002042,0.000347,0.000681,0.003819,0.001588,0.139236,0.011041,0.548611,0.019195,0.771528,0.0125,0.5233,0.00038,0.003293,6.3e-05,0.0,0.0,0.875504,0.014949,10
proposed_hierarchical_failure_containment_graph_v4,stress_00,0.05,0.772222,0.019201,0.606944,0.021778,0.056945,0.010504,0.006944,0.00287,0.006944,0.003044,0.001736,0.001134,0.013542,0.00358,0.103819,0.007953,0.515625,0.013771,0.659028,0.018701,0.489064,0.000428,0.003175,5.6e-05,0.15868,0.026689,0.721213,0.019314,10
proposed_hierarchical_failure_containment_graph_v4,stress_01,0.15,0.765972,0.01649,0.607986,0.011676,0.0625,0.009298,0.009375,0.003052,0.009722,0.002646,0.001736,0.001134,0.017361,0.003208,0.120833,0.014799,0.5125,0.017401,0.658681,0.012469,0.508415,0.000462,0.003163,8.8e-05,0.167708,0.025323,0.696589,0.019278,10
proposed_hierarchical_failure_containment_graph_v4,stress_02,0.25,0.761111,0.0213,0.601042,0.012567,0.069097,0.008515,0.012847,0.002879,0.013542,0.003857,0.00243,0.001772,0.01875,0.005482,0.134028,0.014426,0.501042,0.019304,0.640972,0.01781,0.528332,0.000466,0.003327,9.6e-05,0.164236,0.026123,0.67152,0.024864,10
proposed_hierarchical_failure_containment_graph_v4,stress_03,0.35,0.756597,0.022145,0.587847,0.020266,0.073264,0.01172,0.013542,0.004238,0.016667,0.002443,0.002778,0.002223,0.021875,0.005653,0.159375,0.008986,0.495139,0.014639,0.634028,0.01746,0.547752,0.000377,0.00496,9.5e-05,0.172569,0.026708,0.644271,0.023804,10
proposed_hierarchical_failure_containment_graph_v4,stress_04,0.45,0.749653,0.015267,0.582639,0.015279,0.08125,0.010746,0.017014,0.005315,0.019444,0.002526,0.003125,0.00214,0.021875,0.004764,0.176042,0.012915,0.486458,0.015829,0.632986,0.016825,0.567076,0.000559,0.008965,8.2e-05,0.173958,0.022191,0.616967,0.014905,10
proposed_hierarchical_failure_containment_graph_v4,stress_05,0.55,0.745833,0.015479,0.570486,0.021736,0.079167,0.010484,0.020139,0.005538,0.025347,0.004655,0.00243,0.001452,0.027083,0.005349,0.193056,0.010698,0.470486,0.018013,0.617014,0.015487,0.586388,0.0007,0.015509,0.00015,0.179167,0.019651,0.594356,0.017008,10
proposed_hierarchical_failure_containment_graph_v4,stress_06,0.65,0.738194,0.011306,0.560764,0.028555,0.082986,0.008081,0.022222,0.006188,0.030903,0.004115,0.005208,0.002732,0.031944,0.006559,0.207292,0.011023,0.478819,0.02134,0.614931,0.013167,0.605774,0.000697,0.023223,0.000161,0.184028,0.011388,0.565208,0.01378,10
proposed_hierarchical_failure_containment_graph_v4,stress_07,0.75,0.727083,0.011665,0.548611,0.022572,0.082639,0.011379,0.023958,0.005506,0.029167,0.005193,0.004514,0.002042,0.031944,0.008656,0.226736,0.016074,0.478125,0.0189,0.605903,0.011755,0.622704,0.000656,0.031311,0.000108,0.194097,0.010662,0.541237,0.015822,10
proposed_hierarchical_failure_containment_graph_v4,stress_08,0.85,0.730208,0.017748,0.553819,0.017812,0.091667,0.011709,0.023264,0.005561,0.031945,0.007087,0.006597,0.002368,0.030903,0.004358,0.23125,0.017312,0.473611,0.025143,0.607639,0.011433,0.63771,0.000463,0.039646,0.000145,0.176736,0.027475,0.531592,0.018712,10
proposed_hierarchical_failure_containment_graph_v4,stress_09,0.95,0.720139,0.012013,0.547222,0.019756,0.094097,0.008145,0.026042,0.005937,0.033681,0.005178,0.007639,0.002646,0.03368,0.004064,0.244792,0.017403,0.465972,0.021492,0.6,0.017121,0.652229,0.000567,0.048446,0.000206,0.175,0.021858,0.504887,0.012541,10
recovery_budgeted_controller,stress_00,0.05,0.726736,0.015849,0.49132,0.011534,0.087847,0.013191,0.033333,0.004445,0.04132,0.007417,0.009375,0.003522,0.030556,0.006237,0.178819,0.013733,0.45625,0.027169,0.557639,0.020647,0.570723,0.000521,0.003188,7.6e-05,0.204167,0.019927,0.541509,0.027895,10
recovery_budgeted_controller,stress_01,0.15,0.719792,0.019357,0.492014,0.012795,0.083333,0.012952,0.0375,0.005052,0.042361,0.007441,0.009028,0.002722,0.031597,0.009043,0.195139,0.01697,0.447222,0.021468,0.554167,0.014674,0.589555,0.000442,0.003568,6.9e-05,0.213889,0.023228,0.523662,0.029639,10
recovery_budgeted_controller,stress_02,0.25,0.703472,0.021574,0.489236,0.013666,0.096181,0.015751,0.039583,0.005093,0.04618,0.004189,0.011111,0.003769,0.02882,0.007796,0.204167,0.0125,0.453125,0.02551,0.54757,0.011023,0.609105,0.000625,0.005964,0.000114,0.221875,0.025352,0.488293,0.0238,10
recovery_budgeted_controller,stress_03,0.35,0.686805,0.020158,0.479861,0.013791,0.097222,0.010689,0.045139,0.004058,0.051042,0.007177,0.010764,0.003988,0.030556,0.005349,0.215625,0.018442,0.437847,0.013514,0.556597,0.015321,0.62841,0.000666,0.011316,0.000111,0.242361,0.019771,0.455269,0.023122,10
recovery_budgeted_controller,stress_04,0.45,0.6625,0.015278,0.483681,0.015219,0.111111,0.011067,0.045486,0.007206,0.060764,0.006899,0.016319,0.004428,0.032986,0.006974,0.227431,0.012922,0.434375,0.016467,0.553819,0.016208,0.647711,0.000558,0.018637,0.000112,0.261111,0.016226,0.402113,0.014573,10
recovery_budgeted_controller,stress_05,0.55,0.661111,0.011796,0.48125,0.016015,0.115972,0.008798,0.05243,0.007486,0.068056,0.006821,0.021528,0.00428,0.036111,0.006019,0.247917,0.01184,0.437153,0.01702,0.540972,0.020662,0.667136,0.000348,0.027029,0.00013,0.263889,0.015944,0.370347,0.014411,10
recovery_budgeted_controller,stress_06,0.65,0.65868,0.012469,0.471875,0.013438,0.122569,0.015152,0.061458,0.010448,0.072569,0.009043,0.024653,0.004699,0.040625,0.006579,0.25243,0.013801,0.438194,0.012417,0.525347,0.01562,0.686828,0.000569,0.036025,0.000145,0.263542,0.013514,0.344487,0.018961,10
recovery_budgeted_controller,stress_07,0.75,0.642708,0.012891,0.472917,0.010533,0.130556,0.011397,0.060417,0.008971,0.076389,0.009074,0.028472,0.004627,0.044097,0.007527,0.271181,0.007953,0.427084,0.012508,0.527083,0.013375,0.703697,0.000478,0.045192,0.000134,0.278472,0.010823,0.304515,0.016532,10
recovery_budgeted_controller,stress_08,0.85,0.633334,0.011261,0.464583,0.016321,0.143403,0.01148,0.066319,0.011587,0.07257,0.011363,0.030556,0.00581,0.051389,0.008948,0.291667,0.010737,0.413542,0.009378,0.518403,0.015049,0.718864,0.000531,0.054241,0.000148,0.273611,0.01115,0.26589,0.012805,10
recovery_budgeted_controller,stress_09,0.95,0.634028,0.007871,0.450347,0.016423,0.146181,0.010218,0.075,0.010256,0.079861,0.011067,0.034375,0.005118,0.054166,0.008739,0.312153,0.009378,0.407292,0.015287,0.510764,0.024984,0.733338,0.000693,0.063171,0.000157,0.261111,0.018,0.23717,0.015094,10
risk_calibrated_hierarchical_containment_v5,stress_00,0.05,0.859375,0.009367,0.687847,0.01071,0.029514,0.00794,0.001389,0.001111,0.001042,0.001039,0.00243,0.001772,0.002083,0.002079,0.041667,0.007102,0.558681,0.013703,0.762847,0.017159,0.409735,0.000501,0.003237,7.8e-05,0.071528,0.018602,0.890461,0.011135,10
risk_calibrated_hierarchical_containment_v5,stress_01,0.15,0.859028,0.012841,0.673611,0.009187,0.031597,0.008081,0.001042,0.001039,0.001736,0.001522,0.002778,0.001361,0.003819,0.002949,0.056944,0.010155,0.568056,0.018125,0.749305,0.018142,0.428921,0.000438,0.003241,6.5e-05,0.074653,0.019309,0.87644,0.015491,10
