method,split,stress_level,success,ci95_success,containment_rate,ci95_containment_rate,cascade_rate,ci95_cascade_rate,state_corruption,ci95_state_corruption,subgoal_corruption,ci95_subgoal_corruption,damage_rate,ci95_damage_rate,false_halt,ci95_false_halt,missed_failure,ci95_missed_failure,recovery_success,ci95_recovery_success,escalation_precision,ci95_escalation_precision,containment_latency,ci95_containment_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility,groups
anomaly_transformer_attribution,stress_00,0.05,0.691319,0.013816,0.493056,0.026201,0.101736,0.00919,0.044792,0.009043,0.044791,0.010565,0.021528,0.004033,0.051389,0.00679,0.189583,0.018154,0.402778,0.017833,0.561805,0.027294,0.598652,0.000456,0.011356,0.00014,0.239583,0.015684,0.453869,0.016277,10
anomaly_transformer_attribution,stress_01,0.15,0.675347,0.015192,0.467361,0.01746,0.114236,0.007417,0.050347,0.010158,0.050347,0.008258,0.023264,0.003803,0.052084,0.006653,0.207292,0.022251,0.384375,0.014598,0.567708,0.017927,0.617906,0.00053,0.01922,0.000203,0.258333,0.018822,0.407254,0.016119,10
anomaly_transformer_attribution,stress_02,0.25,0.660416,0.016818,0.457292,0.025201,0.127083,0.011621,0.053125,0.009839,0.048958,0.008394,0.027431,0.004358,0.049653,0.005178,0.2125,0.019927,0.374306,0.012984,0.563889,0.019937,0.637153,0.000513,0.028224,0.000225,0.264931,0.014241,0.372458,0.021397,10
anomaly_transformer_attribution,stress_03,0.35,0.661111,0.021905,0.455903,0.018872,0.140278,0.010746,0.057639,0.010002,0.054514,0.007595,0.03125,0.007924,0.057986,0.006656,0.231944,0.011603,0.376389,0.015292,0.554861,0.017121,0.656413,0.000507,0.037857,0.000187,0.268056,0.016633,0.339512,0.019852,10
anomaly_transformer_attribution,stress_04,0.45,0.638542,0.022741,0.454167,0.01777,0.148958,0.009378,0.064931,0.010497,0.057292,0.006899,0.033681,0.007862,0.054861,0.005052,0.244097,0.017218,0.375,0.018429,0.540972,0.018674,0.675358,0.000379,0.047796,0.000175,0.285069,0.021864,0.295267,0.027385,10
anomaly_transformer_attribution,stress_05,0.55,0.634375,0.019778,0.449653,0.019757,0.150347,0.010046,0.068056,0.011352,0.070833,0.005093,0.040278,0.00627,0.060764,0.00832,0.258333,0.021067,0.364236,0.014541,0.537153,0.016947,0.694632,0.00045,0.057675,0.000152,0.290625,0.021233,0.261374,0.026762,10
anomaly_transformer_attribution,stress_06,0.65,0.61493,0.01705,0.455556,0.012038,0.158333,0.012433,0.074306,0.009198,0.083333,0.007726,0.040278,0.0074,0.06875,0.011952,0.277083,0.022361,0.348611,0.020993,0.535764,0.018347,0.714578,0.000549,0.06756,0.000186,0.307292,0.024375,0.211598,0.024027,10
anomaly_transformer_attribution,stress_07,0.75,0.615972,0.016891,0.451042,0.014471,0.168403,0.016113,0.075695,0.011011,0.086458,0.012277,0.043403,0.006594,0.074653,0.012227,0.305903,0.020175,0.347222,0.021449,0.525,0.022839,0.731903,0.00071,0.076859,0.000191,0.305208,0.022005,0.180881,0.023699,10
anomaly_transformer_attribution,stress_08,0.85,0.613889,0.019588,0.432292,0.011125,0.184028,0.014058,0.084722,0.009198,0.091667,0.01197,0.044792,0.006452,0.076736,0.010995,0.33507,0.025041,0.35,0.028239,0.498958,0.013268,0.746764,0.000808,0.085905,0.000138,0.293056,0.020647,0.140375,0.032689,10
anomaly_transformer_attribution,stress_09,0.95,0.604514,0.020021,0.434722,0.018368,0.175347,0.013159,0.096528,0.008891,0.097917,0.010386,0.051042,0.006006,0.070139,0.00804,0.338194,0.026048,0.357986,0.023144,0.492014,0.014981,0.761439,0.000701,0.094911,0.00015,0.290625,0.029017,0.119783,0.026565,10
