method,split,task,regime,mean_success,ci95_success,mean_containment_rate,ci95_containment_rate,mean_state_corruption,ci95_state_corruption,mean_cascade_rate,ci95_cascade_rate,mean_damage,ci95_damage,mean_false_halt,ci95_false_halt,mean_recovery_success,ci95_recovery_success,mean_escalation_precision,ci95_escalation_precision,mean_containment_latency,ci95_containment_latency,mean_recovery_cost,ci95_recovery_cost,mean_regret_to_oracle,ci95_regret_to_oracle,groups
failure_aware_hierarchical_controller,combined_cascade_stress,bimanual_handoff,actuator_slip,0.5493,0.0376,0.4354,0.0292,0.0442,0.0273,0.1429,0.0265,0.0527,0.0123,0.1752,0.0287,0.3078,0.0316,0.4034,0.0124,0.8227,0.0108,0.225,0.0047,0.1735,0.0504,7
failure_aware_hierarchical_controller,combined_cascade_stress,bimanual_handoff,contact_instability,0.4745,0.0402,0.3912,0.0537,0.1037,0.0208,0.1412,0.032,0.0527,0.0203,0.1803,0.0343,0.3316,0.05,0.4132,0.0082,0.906,0.0118,0.2287,0.0028,0.2704,0.0516,7
failure_aware_hierarchical_controller,combined_cascade_stress,bimanual_handoff,cross_level_cascading_failure,0.4065,0.0393,0.3997,0.0333,0.1514,0.0352,0.2398,0.0442,0.0697,0.0193,0.182,0.0333,0.3231,0.0262,0.4054,0.0075,1.0626,0.0126,0.2172,0.0053,0.3146,0.0516,7
failure_aware_hierarchical_controller,combined_cascade_stress,bimanual_handoff,perception_glitch,0.5884,0.0175,0.4031,0.0588,0.0816,0.0094,0.1259,0.0292,0.0289,0.0143,0.1735,0.0325,0.381,0.0536,0.4091,0.0189,0.8076,0.0068,0.2239,0.005,0.1735,0.0363,7
failure_aware_hierarchical_controller,combined_cascade_stress,bimanual_handoff,precondition_drift,0.4473,0.0426,0.3316,0.0393,0.1259,0.0175,0.1327,0.0257,0.0595,0.0088,0.1752,0.0304,0.3248,0.0268,0.4124,0.0082,0.8215,0.0134,0.2308,0.0052,0.284,0.0547,7
failure_aware_hierarchical_controller,combined_cascade_stress,bimanual_handoff,recovery_budget_exhaustion,0.4286,0.0388,0.3741,0.04,0.1054,0.0193,0.182,0.0425,0.0374,0.0219,0.1752,0.0237,0.2823,0.0325,0.4156,0.0123,0.9112,0.0179,0.2263,0.0047,0.2551,0.0475,7
failure_aware_hierarchical_controller,combined_cascade_stress,bimanual_handoff,subgoal_drift,0.4779,0.0508,0.381,0.0342,0.131,0.0378,0.1888,0.0156,0.0476,0.0233,0.1803,0.0303,0.3299,0.0359,0.4037,0.0073,0.8467,0.0114,0.2286,0.008,0.2262,0.0349,7
failure_aware_hierarchical_controller,combined_cascade_stress,drawer_retrieval,actuator_slip,0.5629,0.0705,0.4354,0.0249,0.0527,0.016,0.1156,0.0232,0.0374,0.0079,0.1684,0.0224,0.335,0.0473,0.408,0.0127,0.7936,0.0094,0.2199,0.0067,0.1837,0.0822,7
failure_aware_hierarchical_controller,combined_cascade_stress,drawer_retrieval,contact_instability,0.4983,0.0354,0.4048,0.0453,0.0748,0.0132,0.131,0.0292,0.0595,0.0144,0.199,0.038,0.3333,0.0504,0.414,0.006,0.8526,0.0127,0.2282,0.0052,0.2619,0.0729,7
failure_aware_hierarchical_controller,combined_cascade_stress,drawer_retrieval,cross_level_cascading_failure,0.432,0.0406,0.3946,0.0362,0.1259,0.0233,0.2228,0.0485,0.0408,0.0196,0.1786,0.0306,0.3078,0.0382,0.4156,0.0097,1.0164,0.0165,0.2296,0.0066,0.2704,0.0355,7
failure_aware_hierarchical_controller,combined_cascade_stress,drawer_retrieval,perception_glitch,0.5425,0.0419,0.3912,0.0343,0.0646,0.0183,0.1276,0.0363,0.0527,0.0221,0.182,0.0321,0.335,0.0294,0.4075,0.0132,0.7723,0.0159,0.2279,0.0051,0.2279,0.0379,7
failure_aware_hierarchical_controller,combined_cascade_stress,drawer_retrieval,precondition_drift,0.5034,0.0202,0.3639,0.0429,0.085,0.0206,0.1344,0.0329,0.0561,0.0132,0.1854,0.0407,0.318,0.0471,0.4067,0.0101,0.8079,0.0147,0.2287,0.0044,0.2415,0.0488,7
failure_aware_hierarchical_controller,combined_cascade_stress,drawer_retrieval,recovery_budget_exhaustion,0.4184,0.049,0.3776,0.0253,0.1071,0.0274,0.1939,0.0291,0.0544,0.0203,0.1939,0.0373,0.3146,0.0504,0.4144,0.0122,0.8867,0.0101,0.2246,0.0088,0.3112,0.0639,7
failure_aware_hierarchical_controller,combined_cascade_stress,drawer_retrieval,subgoal_drift,0.5238,0.0318,0.4048,0.0374,0.1207,0.0324,0.1667,0.0401,0.0408,0.0183,0.1633,0.0344,0.318,0.0232,0.3999,0.0078,0.8256,0.0093,0.2324,0.0069,0.2075,0.0524,7
failure_aware_hierarchical_controller,combined_cascade_stress,mobile_manip_delivery,actuator_slip,0.5867,0.0482,0.3997,0.036,0.0578,0.0129,0.1105,0.0174,0.0527,0.0233,0.1446,0.0246,0.3554,0.0393,0.4113,0.0075,0.8101,0.015,0.223,0.0042,0.165,0.0439,7
failure_aware_hierarchical_controller,combined_cascade_stress,mobile_manip_delivery,contact_instability,0.5476,0.0297,0.369,0.0135,0.0765,0.0196,0.1207,0.023,0.0459,0.0107,0.1905,0.0301,0.3707,0.0389,0.4129,0.0091,0.8793,0.0203,0.2356,0.0096,0.2126,0.0674,7
failure_aware_hierarchical_controller,combined_cascade_stress,mobile_manip_delivery,cross_level_cascading_failure,0.3946,0.0442,0.3997,0.0221,0.1344,0.0304,0.2007,0.0236,0.0646,0.0269,0.1531,0.0332,0.2993,0.0533,0.4086,0.0102,1.0333,0.0125,0.2308,0.0058,0.3027,0.0491,7
failure_aware_hierarchical_controller,combined_cascade_stress,mobile_manip_delivery,perception_glitch,0.5459,0.0379,0.3861,0.0419,0.0612,0.0148,0.1139,0.0123,0.0323,0.0202,0.1905,0.0292,0.3333,0.0426,0.4025,0.0058,0.7967,0.0151,0.2273,0.0044,0.2211,0.048,7
failure_aware_hierarchical_controller,combined_cascade_stress,mobile_manip_delivery,precondition_drift,0.483,0.0243,0.3895,0.0189,0.0986,0.0304,0.1565,0.0257,0.0476,0.0125,0.1905,0.0326,0.3503,0.0606,0.3959,0.0101,0.8152,0.0077,0.2303,0.0061,0.2636,0.0312,7
failure_aware_hierarchical_controller,combined_cascade_stress,mobile_manip_delivery,recovery_budget_exhaustion,0.4354,0.0519,0.4252,0.0562,0.1139,0.0209,0.199,0.0304,0.0595,0.0169,0.1956,0.0296,0.2942,0.0531,0.4092,0.015,0.9078,0.0103,0.2302,0.0067,0.301,0.0598,7
failure_aware_hierarchical_controller,combined_cascade_stress,mobile_manip_delivery,subgoal_drift,0.4932,0.0305,0.415,0.0647,0.1003,0.0209,0.1701,0.04,0.0561,0.022,0.1752,0.0359,0.3469,0.0457,0.4063,0.0127,0.8229,0.0152,0.2252,0.0052,0.2194,0.0466,7
