method,split,task,regime,mean_success,ci95_success,mean_containment_rate,ci95_containment_rate,mean_state_corruption,ci95_state_corruption,mean_cascade_rate,ci95_cascade_rate,mean_damage,ci95_damage,mean_false_halt,ci95_false_halt,mean_recovery_success,ci95_recovery_success,mean_escalation_precision,ci95_escalation_precision,mean_containment_latency,ci95_containment_latency,mean_recovery_cost,ci95_recovery_cost,mean_regret_to_oracle,ci95_regret_to_oracle,groups
failure_aware_hierarchical_controller,combined_cascade_stress,peg_assembly,actuator_slip,0.5612,0.0399,0.381,0.042,0.0374,0.0148,0.1122,0.0283,0.0289,0.0086,0.1752,0.0243,0.3554,0.0119,0.4098,0.0098,0.8246,0.0106,0.2306,0.0068,0.1565,0.0347,7
failure_aware_hierarchical_controller,combined_cascade_stress,peg_assembly,contact_instability,0.5119,0.0301,0.4473,0.0449,0.0935,0.0206,0.1463,0.0296,0.051,0.0291,0.1871,0.0258,0.3299,0.0559,0.4045,0.0064,0.8895,0.0178,0.228,0.0064,0.2296,0.0548,7
failure_aware_hierarchical_controller,combined_cascade_stress,peg_assembly,cross_level_cascading_failure,0.4116,0.0269,0.3776,0.015,0.1514,0.0321,0.2534,0.0278,0.0697,0.0129,0.1616,0.0313,0.3129,0.0337,0.4034,0.0079,1.0431,0.0204,0.2291,0.005,0.3027,0.0407,7
failure_aware_hierarchical_controller,combined_cascade_stress,peg_assembly,perception_glitch,0.5374,0.0618,0.381,0.0467,0.0833,0.0233,0.1224,0.0237,0.0493,0.0139,0.1718,0.0394,0.3197,0.0379,0.4147,0.0049,0.7895,0.0078,0.223,0.0045,0.2075,0.0596,7
failure_aware_hierarchical_controller,combined_cascade_stress,peg_assembly,precondition_drift,0.5272,0.0321,0.4116,0.0269,0.1088,0.0312,0.131,0.0391,0.0493,0.0129,0.1888,0.0271,0.335,0.0409,0.4083,0.0075,0.8408,0.0121,0.2254,0.0079,0.2262,0.0619,7
failure_aware_hierarchical_controller,combined_cascade_stress,peg_assembly,recovery_budget_exhaustion,0.4388,0.0351,0.3827,0.0479,0.1139,0.0305,0.1973,0.0254,0.0765,0.0152,0.1922,0.0281,0.2976,0.0483,0.4041,0.0061,0.913,0.0173,0.2229,0.0066,0.2806,0.0499,7
failure_aware_hierarchical_controller,combined_cascade_stress,peg_assembly,subgoal_drift,0.5068,0.0426,0.3912,0.0482,0.1139,0.0269,0.1548,0.0279,0.0476,0.0233,0.199,0.0195,0.3435,0.0339,0.4075,0.0081,0.8272,0.0109,0.2244,0.0036,0.1752,0.0538,7
failure_aware_hierarchical_controller,combined_cascade_stress,tool_use_sequence,actuator_slip,0.5187,0.0438,0.3827,0.0468,0.051,0.0174,0.1241,0.0196,0.0442,0.0273,0.1922,0.0307,0.3265,0.0345,0.4004,0.0087,0.8284,0.0104,0.2276,0.0045,0.2398,0.0688,7
failure_aware_hierarchical_controller,combined_cascade_stress,tool_use_sequence,contact_instability,0.5459,0.052,0.398,0.0329,0.068,0.0248,0.1531,0.0281,0.0476,0.0191,0.1871,0.0243,0.3231,0.0187,0.4059,0.012,0.8763,0.0137,0.229,0.0099,0.1973,0.0573,7
failure_aware_hierarchical_controller,combined_cascade_stress,tool_use_sequence,cross_level_cascading_failure,0.3759,0.037,0.3946,0.0285,0.1888,0.0332,0.2024,0.0153,0.0731,0.0139,0.1769,0.0246,0.3044,0.0521,0.4083,0.0132,1.0406,0.0132,0.2228,0.0068,0.3418,0.0772,7
failure_aware_hierarchical_controller,combined_cascade_stress,tool_use_sequence,perception_glitch,0.568,0.0317,0.381,0.0569,0.0612,0.0148,0.1241,0.016,0.034,0.0079,0.1497,0.0168,0.3265,0.0337,0.4134,0.0105,0.8016,0.0118,0.2332,0.0093,0.1616,0.0642,7
failure_aware_hierarchical_controller,combined_cascade_stress,tool_use_sequence,precondition_drift,0.4864,0.0584,0.3861,0.0707,0.102,0.0391,0.1463,0.0202,0.0374,0.0148,0.1871,0.0313,0.3129,0.0214,0.4054,0.0079,0.8348,0.0068,0.2212,0.0048,0.2619,0.0677,7
failure_aware_hierarchical_controller,combined_cascade_stress,tool_use_sequence,recovery_budget_exhaustion,0.4626,0.0351,0.4354,0.0441,0.1088,0.0241,0.1871,0.0253,0.0578,0.023,0.1531,0.0312,0.3197,0.0393,0.4102,0.0107,0.9095,0.0105,0.2231,0.004,0.2891,0.0705,7
failure_aware_hierarchical_controller,combined_cascade_stress,tool_use_sequence,subgoal_drift,0.4405,0.0314,0.3673,0.0336,0.1361,0.0175,0.1582,0.0373,0.0476,0.0114,0.1786,0.0249,0.3486,0.0321,0.4092,0.0136,0.8403,0.0135,0.2238,0.0096,0.3112,0.0246,7
failure_aware_hierarchical_controller,delayed_escalation,bimanual_handoff,actuator_slip,0.5816,0.0701,0.4167,0.0367,0.0425,0.0112,0.1071,0.031,0.0459,0.0148,0.1786,0.0338,0.3605,0.0406,0.4352,0.006,0.7971,0.017,0.231,0.0034,0.1888,0.103,7
failure_aware_hierarchical_controller,delayed_escalation,bimanual_handoff,contact_instability,0.5085,0.0383,0.4116,0.0397,0.0646,0.0168,0.131,0.0144,0.0629,0.0189,0.2007,0.0369,0.352,0.0367,0.4356,0.011,0.8505,0.007,0.2265,0.0056,0.216,0.0365,7
failure_aware_hierarchical_controller,delayed_escalation,bimanual_handoff,cross_level_cascading_failure,0.4065,0.0281,0.3912,0.0421,0.1327,0.0276,0.2092,0.0152,0.0459,0.0172,0.1718,0.037,0.2857,0.0507,0.4386,0.0087,0.9889,0.0092,0.2328,0.0093,0.2976,0.0702,7
failure_aware_hierarchical_controller,delayed_escalation,bimanual_handoff,perception_glitch,0.5493,0.0476,0.4269,0.0339,0.0646,0.0086,0.1122,0.0249,0.0374,0.023,0.1718,0.0397,0.3282,0.0305,0.4421,0.0089,0.7856,0.0112,0.2342,0.0039,0.1871,0.0526,7
failure_aware_hierarchical_controller,delayed_escalation,bimanual_handoff,precondition_drift,0.4847,0.0296,0.3963,0.0344,0.0833,0.0153,0.1293,0.023,0.0357,0.0102,0.1684,0.0415,0.3197,0.0492,0.4345,0.0069,0.7998,0.0173,0.2275,0.0088,0.2279,0.0525,7
failure_aware_hierarchical_controller,delayed_escalation,bimanual_handoff,recovery_budget_exhaustion,0.4558,0.0446,0.3741,0.0215,0.1156,0.0278,0.1837,0.019,0.0425,0.0112,0.1684,0.0312,0.2908,0.0363,0.4317,0.0134,0.8619,0.0137,0.2284,0.007,0.2381,0.0367,7
failure_aware_hierarchical_controller,delayed_escalation,bimanual_handoff,subgoal_drift,0.4983,0.0336,0.3793,0.0415,0.1071,0.0184,0.165,0.0206,0.0425,0.016,0.1514,0.0182,0.3299,0.0237,0.4417,0.0072,0.8078,0.0104,0.2311,0.006,0.2398,0.0465,7
failure_aware_hierarchical_controller,delayed_escalation,drawer_retrieval,actuator_slip,0.6173,0.0307,0.4456,0.0264,0.0476,0.0216,0.1173,0.0294,0.0408,0.0133,0.1684,0.0267,0.3384,0.0329,0.4391,0.0092,0.7741,0.0129,0.2315,0.0052,0.1378,0.0321,7
failure_aware_hierarchical_controller,delayed_escalation,drawer_retrieval,contact_instability,0.517,0.0309,0.3997,0.0259,0.051,0.0167,0.1735,0.0183,0.0595,0.0191,0.1769,0.0324,0.3367,0.04,0.4413,0.0088,0.8163,0.0163,0.2332,0.003,0.2398,0.029,7
failure_aware_hierarchical_controller,delayed_escalation,drawer_retrieval,cross_level_cascading_failure,0.5,0.0301,0.4388,0.0618,0.1122,0.0215,0.2211,0.016,0.0646,0.0233,0.1701,0.0263,0.2942,0.0387,0.4433,0.0085,0.9485,0.009,0.2291,0.0063,0.2364,0.0653,7
failure_aware_hierarchical_controller,delayed_escalation,drawer_retrieval,perception_glitch,0.5493,0.0206,0.3895,0.0098,0.0663,0.0233,0.1173,0.023,0.0272,0.0159,0.1599,0.0259,0.3265,0.0488,0.4314,0.0071,0.7504,0.0083,0.2349,0.0076,0.2109,0.0474,7
failure_aware_hierarchical_controller,delayed_escalation,drawer_retrieval,precondition_drift,0.5221,0.0213,0.3946,0.0224,0.0867,0.0273,0.1327,0.0172,0.0544,0.0209,0.1888,0.0495,0.3112,0.0156,0.4305,0.0081,0.7808,0.0134,0.2353,0.0097,0.2058,0.0712,7
failure_aware_hierarchical_controller,delayed_escalation,drawer_retrieval,recovery_budget_exhaustion,0.5153,0.0387,0.4354,0.0413,0.0969,0.0224,0.1514,0.0348,0.0595,0.0283,0.1973,0.0313,0.2534,0.0466,0.4297,0.0084,0.8513,0.0122,0.2346,0.0081,0.2075,0.0485,7
failure_aware_hierarchical_controller,delayed_escalation,drawer_retrieval,subgoal_drift,0.5561,0.0182,0.4218,0.0352,0.085,0.0193,0.131,0.031,0.0459,0.0164,0.1429,0.0216,0.3112,0.02,0.4314,0.0084,0.8016,0.0143,0.2272,0.0089,0.1616,0.0623,7
failure_aware_hierarchical_controller,delayed_escalation,mobile_manip_delivery,actuator_slip,0.5425,0.0243,0.4303,0.0257,0.051,0.0174,0.1344,0.0214,0.0289,0.0123,0.1701,0.0214,0.3316,0.0421,0.4402,0.0082,0.7772,0.0076,0.2235,0.0089,0.1922,0.0332,7
failure_aware_hierarchical_controller,delayed_escalation,mobile_manip_delivery,contact_instability,0.5476,0.036,0.4133,0.0477,0.0595,0.0125,0.165,0.0339,0.0731,0.0172,0.1616,0.0168,0.3639,0.0249,0.4389,0.0063,0.8393,0.0193,0.2285,0.0047,0.1769,0.0495,7
failure_aware_hierarchical_controller,delayed_escalation,mobile_manip_delivery,cross_level_cascading_failure,0.4286,0.0426,0.4031,0.0365,0.1497,0.0377,0.1973,0.0329,0.0595,0.0144,0.1956,0.0349,0.3163,0.0309,0.4459,0.012,0.9716,0.0092,0.2258,0.0056,0.2993,0.0577,7
failure_aware_hierarchical_controller,delayed_escalation,mobile_manip_delivery,perception_glitch,0.5731,0.0487,0.3912,0.0303,0.0697,0.0206,0.1088,0.0241,0.0391,0.0167,0.1497,0.019,0.335,0.0347,0.4341,0.0064,0.7634,0.0227,0.2328,0.0068,0.131,0.042,7
failure_aware_hierarchical_controller,delayed_escalation,mobile_manip_delivery,precondition_drift,0.5204,0.0348,0.432,0.0359,0.0765,0.0203,0.1378,0.0249,0.0561,0.0232,0.1803,0.0213,0.3316,0.0379,0.4368,0.003,0.7928,0.0086,0.2281,0.009,0.2228,0.0406,7
failure_aware_hierarchical_controller,delayed_escalation,mobile_manip_delivery,recovery_budget_exhaustion,0.4337,0.064,0.4082,0.0344,0.1003,0.0175,0.1752,0.0413,0.051,0.0111,0.1599,0.0432,0.301,0.0425,0.4375,0.0133,0.8625,0.013,0.2293,0.0078,0.2925,0.0463,7
failure_aware_hierarchical_controller,delayed_escalation,mobile_manip_delivery,subgoal_drift,0.5221,0.0372,0.398,0.0429,0.1003,0.0183,0.1463,0.0287,0.0459,0.0119,0.1565,0.0312,0.3095,0.026,0.4325,0.0115,0.8085,0.0138,0.223,0.0064,0.1888,0.0518,7
failure_aware_hierarchical_controller,delayed_escalation,peg_assembly,actuator_slip,0.5561,0.0393,0.398,0.037,0.0425,0.0086,0.1344,0.0132,0.0408,0.0196,0.1616,0.0215,0.3656,0.0278,0.4285,0.0117,0.7883,0.0083,0.2336,0.0051,0.1531,0.0577,7
failure_aware_hierarchical_controller,delayed_escalation,peg_assembly,contact_instability,0.5136,0.0645,0.415,0.0402,0.0527,0.0168,0.1378,0.0309,0.0578,0.0193,0.1956,0.04,0.3044,0.0269,0.4448,0.0098,0.8485,0.0145,0.2298,0.0048,0.2262,0.0818,7
failure_aware_hierarchical_controller,delayed_escalation,peg_assembly,cross_level_cascading_failure,0.4014,0.0452,0.4337,0.0615,0.1241,0.0325,0.1888,0.0412,0.0748,0.0141,0.1735,0.0287,0.2704,0.0449,0.4294,0.0055,0.9835,0.0054,0.2324,0.0059,0.3078,0.062,7
failure_aware_hierarchical_controller,delayed_escalation,peg_assembly,perception_glitch,0.5459,0.0439,0.4218,0.0309,0.0612,0.0219,0.1071,0.0191,0.0306,0.0168,0.1684,0.0316,0.3248,0.0377,0.4382,0.0088,0.7702,0.0116,0.2235,0.0051,0.1718,0.0475,7
failure_aware_hierarchical_controller,delayed_escalation,peg_assembly,precondition_drift,0.483,0.0638,0.4031,0.0402,0.0935,0.0193,0.1054,0.0299,0.0442,0.0159,0.1667,0.0191,0.3333,0.0301,0.4419,0.0138,0.8011,0.0134,0.2353,0.0059,0.216,0.0641,7
failure_aware_hierarchical_controller,delayed_escalation,peg_assembly,recovery_budget_exhaustion,0.4371,0.0413,0.4354,0.0317,0.1037,0.0321,0.1888,0.0285,0.0391,0.0167,0.1514,0.0355,0.2806,0.0463,0.4406,0.0046,0.8609,0.0055,0.2346,0.0063,0.2925,0.0546,7
failure_aware_hierarchical_controller,delayed_escalation,peg_assembly,subgoal_drift,0.5119,0.0541,0.4116,0.0333,0.1071,0.0244,0.1327,0.0276,0.0408,0.0152,0.1752,0.0416,0.3248,0.0309,0.4307,0.0103,0.8083,0.0095,0.2295,0.0087,0.2143,0.0585,7
failure_aware_hierarchical_controller,delayed_escalation,tool_use_sequence,actuator_slip,0.5119,0.0524,0.4558,0.0373,0.051,0.0111,0.1139,0.0367,0.0357,0.0176,0.1888,0.0372,0.3401,0.0321,0.4449,0.0025,0.7716,0.0158,0.2221,0.0045,0.25,0.0605,7
failure_aware_hierarchical_controller,delayed_escalation,tool_use_sequence,contact_instability,0.5272,0.0443,0.3861,0.0501,0.0782,0.0183,0.1514,0.0067,0.0493,0.0156,0.1633,0.0296,0.3214,0.0334,0.4432,0.0056,0.8504,0.0147,0.2312,0.0105,0.2007,0.0563,7
failure_aware_hierarchical_controller,delayed_escalation,tool_use_sequence,cross_level_cascading_failure,0.432,0.0419,0.4201,0.0243,0.1412,0.0129,0.1939,0.0273,0.0765,0.019,0.1786,0.0301,0.301,0.0413,0.4536,0.0168,0.9755,0.0161,0.2342,0.007,0.3078,0.0643,7
failure_aware_hierarchical_controller,delayed_escalation,tool_use_sequence,perception_glitch,0.5714,0.0467,0.4218,0.0423,0.0544,0.016,0.0986,0.0226,0.0425,0.0152,0.1769,0.0445,0.3486,0.0413,0.4378,0.01,0.7827,0.0173,0.2321,0.0067,0.1786,0.0569,7
failure_aware_hierarchical_controller,delayed_escalation,tool_use_sequence,precondition_drift,0.5034,0.0425,0.4269,0.0513,0.0884,0.0313,0.1378,0.0287,0.0391,0.0132,0.1684,0.0362,0.335,0.0252,0.4464,0.0101,0.787,0.0056,0.2275,0.0061,0.2075,0.0461,7
failure_aware_hierarchical_controller,delayed_escalation,tool_use_sequence,recovery_budget_exhaustion,0.4388,0.0427,0.3639,0.0227,0.1105,0.0159,0.1786,0.0326,0.0442,0.0084,0.1701,0.0202,0.3061,0.0449,0.4416,0.0104,0.8573,0.0103,0.2287,0.003,0.3061,0.0566,7
failure_aware_hierarchical_controller,delayed_escalation,tool_use_sequence,subgoal_drift,0.4966,0.0566,0.4337,0.0416,0.0952,0.0239,0.1429,0.0102,0.051,0.0214,0.1497,0.0296,0.2704,0.0355,0.4435,0.0073,0.805,0.0128,0.2326,0.0094,0.2262,0.0574,7
failure_aware_hierarchical_controller,low_level_perturbation,bimanual_handoff,actuator_slip,0.5986,0.0377,0.4881,0.0318,0.0374,0.0164,0.1173,0.0241,0.0374,0.0193,0.182,0.0366,0.4099,0.0317,0.4711,0.0104,0.7129,0.0131,0.2376,0.0037,0.1446,0.0386,7
failure_aware_hierarchical_controller,low_level_perturbation,bimanual_handoff,contact_instability,0.5442,0.0428,0.4813,0.0438,0.0561,0.0141,0.1241,0.0221,0.0544,0.0168,0.1769,0.0307,0.3776,0.0416,0.4802,0.007,0.7565,0.0092,0.238,0.0066,0.2075,0.0658,7
failure_aware_hierarchical_controller,low_level_perturbation,bimanual_handoff,cross_level_cascading_failure,0.4456,0.0397,0.5051,0.0287,0.1105,0.0141,0.1837,0.0243,0.051,0.0122,0.1786,0.0334,0.3622,0.0516,0.472,0.0063,0.8582,0.0122,0.2395,0.0046,0.2619,0.0444,7
failure_aware_hierarchical_controller,low_level_perturbation,bimanual_handoff,perception_glitch,0.5697,0.0294,0.466,0.0406,0.0544,0.0183,0.1327,0.0299,0.0459,0.018,0.1463,0.0248,0.4575,0.0345,0.4744,0.0078,0.6879,0.0077,0.2314,0.005,0.2024,0.0388,7
failure_aware_hierarchical_controller,low_level_perturbation,bimanual_handoff,precondition_drift,0.5,0.0364,0.4881,0.0423,0.0833,0.0228,0.1173,0.0267,0.0493,0.0193,0.1905,0.0197,0.3963,0.0273,0.4783,0.0127,0.6893,0.0129,0.2359,0.0068,0.216,0.0749,7
failure_aware_hierarchical_controller,low_level_perturbation,bimanual_handoff,recovery_budget_exhaustion,0.5442,0.0363,0.4779,0.0454,0.0629,0.0189,0.1378,0.0296,0.0357,0.0191,0.1548,0.0326,0.3299,0.0403,0.4832,0.0168,0.7771,0.0076,0.2355,0.0056,0.1905,0.0249,7
failure_aware_hierarchical_controller,low_level_perturbation,bimanual_handoff,subgoal_drift,0.5612,0.0206,0.4609,0.0248,0.0765,0.0238,0.1412,0.0354,0.0357,0.0088,0.1599,0.0381,0.3622,0.0196,0.4785,0.0119,0.6953,0.0101,0.245,0.0046,0.1497,0.0387,7
failure_aware_hierarchical_controller,low_level_perturbation,drawer_retrieval,actuator_slip,0.5901,0.0243,0.5085,0.0373,0.0408,0.0227,0.1224,0.0321,0.0289,0.0086,0.1224,0.015,0.4048,0.0288,0.4798,0.0091,0.681,0.0142,0.2355,0.0054,0.1803,0.0451,7
failure_aware_hierarchical_controller,low_level_perturbation,drawer_retrieval,contact_instability,0.568,0.0422,0.4609,0.0463,0.0578,0.0156,0.1395,0.0268,0.0459,0.0119,0.182,0.0419,0.3963,0.0366,0.4754,0.0123,0.7111,0.0074,0.2363,0.0068,0.1582,0.0325,7
failure_aware_hierarchical_controller,low_level_perturbation,drawer_retrieval,cross_level_cascading_failure,0.5068,0.0352,0.5,0.0602,0.102,0.0086,0.1939,0.0189,0.0578,0.0246,0.1565,0.0257,0.4218,0.0511,0.4743,0.0058,0.8362,0.0149,0.2379,0.0072,0.2381,0.0407,7
failure_aware_hierarchical_controller,low_level_perturbation,drawer_retrieval,perception_glitch,0.6139,0.0384,0.4881,0.0491,0.0459,0.0079,0.1054,0.0276,0.0459,0.0187,0.165,0.0119,0.432,0.0566,0.4754,0.0105,0.6715,0.0237,0.2393,0.0074,0.148,0.0469,7
failure_aware_hierarchical_controller,low_level_perturbation,drawer_retrieval,precondition_drift,0.5629,0.0397,0.4915,0.034,0.0833,0.0283,0.131,0.0279,0.051,0.0195,0.1735,0.0349,0.4201,0.0263,0.4776,0.0157,0.6732,0.0114,0.2438,0.0048,0.1922,0.0659,7
failure_aware_hierarchical_controller,low_level_perturbation,drawer_retrieval,recovery_budget_exhaustion,0.5238,0.0478,0.4728,0.0387,0.0731,0.02,0.1599,0.0317,0.0493,0.0148,0.1582,0.0304,0.3401,0.0329,0.4859,0.0057,0.7353,0.0129,0.2372,0.0073,0.2364,0.0465,7
failure_aware_hierarchical_controller,low_level_perturbation,drawer_retrieval,subgoal_drift,0.5612,0.0358,0.4796,0.0488,0.0697,0.0156,0.1003,0.0352,0.0289,0.0133,0.1905,0.0322,0.3861,0.0432,0.4781,0.0096,0.6712,0.0123,0.24,0.0059,0.1905,0.0675,7
failure_aware_hierarchical_controller,low_level_perturbation,mobile_manip_delivery,actuator_slip,0.5935,0.043,0.4575,0.019,0.0323,0.0141,0.0901,0.01,0.0425,0.0086,0.1412,0.0307,0.381,0.0583,0.4823,0.0093,0.7098,0.018,0.243,0.0067,0.1565,0.0528,7
failure_aware_hierarchical_controller,low_level_perturbation,mobile_manip_delivery,contact_instability,0.551,0.0344,0.4864,0.0421,0.0578,0.0312,0.1378,0.0278,0.0561,0.0202,0.1735,0.0278,0.4167,0.0204,0.4744,0.0069,0.7341,0.0111,0.2396,0.0025,0.1905,0.0401,7
failure_aware_hierarchical_controller,low_level_perturbation,mobile_manip_delivery,cross_level_cascading_failure,0.466,0.0459,0.517,0.0381,0.102,0.0301,0.1667,0.0191,0.0663,0.0254,0.1429,0.0314,0.3776,0.0477,0.4733,0.0095,0.8472,0.0153,0.2389,0.0059,0.2432,0.0669,7
failure_aware_hierarchical_controller,low_level_perturbation,mobile_manip_delivery,perception_glitch,0.551,0.0434,0.449,0.0413,0.0595,0.0204,0.1224,0.0366,0.0204,0.0122,0.1344,0.0329,0.3946,0.0451,0.4797,0.0106,0.6812,0.0208,0.2378,0.0028,0.1973,0.0506,7
failure_aware_hierarchical_controller,low_level_perturbation,mobile_manip_delivery,precondition_drift,0.5765,0.0305,0.4949,0.0317,0.0663,0.0168,0.1344,0.0278,0.0391,0.0167,0.1922,0.0339,0.4201,0.0214,0.4764,0.0118,0.6772,0.0177,0.2413,0.0068,0.1548,0.0391,7
