risk_budget,baseline,mean_utility_diff,ci95_utility_diff,utility_wins_over_seeds,mean_success_diff,ci95_success_diff,success_wins_over_seeds,seeds
0.12,causal_event_graph_containment,1.137405,0.01888,10,0.620486,0.012653,10,10
0.12,failure_aware_hierarchical_controller,1.556788,0.010429,10,0.820312,0.008277,10,10
0.12,hierarchical_pomdp_monitor,1.329876,0.016324,10,0.709375,0.011081,10,10
0.12,local_safety_filter,1.836121,0.019779,10,0.838542,0.009215,10,10
0.12,option_termination_monitor,1.667228,0.010614,10,0.838542,0.009215,10,10
0.12,oracle_containment_supervisor,-0.133421,0.015421,0,-0.076736,0.011261,0,10
0.12,proposed_hierarchical_failure_containment_graph_v4,0.569168,0.016724,10,0.313542,0.016756,10,10
0.12,reactive_retry_recovery,1.783902,0.014649,10,0.838542,0.009215,10,10
0.12,recovery_budgeted_controller,1.258347,0.014209,10,0.675173,0.011188,10,10
0.12,robust_mpc_fallback,1.575529,0.01123,10,0.814236,0.01042,10,10
0.12,uncertainty_halt_policy,1.758363,0.010493,10,0.838542,0.009215,10,10
0.18,causal_event_graph_containment,0.709978,0.020918,10,0.357118,0.013734,10,10
0.18,failure_aware_hierarchical_controller,1.247185,0.011823,10,0.631424,0.010347,10,10
0.18,hierarchical_pomdp_monitor,0.896163,0.023596,10,0.443055,0.019321,10,10
0.18,local_safety_filter,1.836121,0.019779,10,0.838542,0.009215,10,10
0.18,option_termination_monitor,1.612807,0.009068,10,0.806771,0.007892,10,10
0.18,oracle_containment_supervisor,-0.133421,0.015421,0,-0.076736,0.011261,0,10
0.18,proposed_hierarchical_failure_containment_graph_v4,0.273704,0.018135,10,0.126042,0.015857,10,10
0.18,reactive_retry_recovery,1.783902,0.014649,10,0.838542,0.009215,10,10
0.18,recovery_budgeted_controller,0.81664,0.012939,10,0.407118,0.009826,10,10
0.18,robust_mpc_fallback,1.242725,0.012688,10,0.614062,0.014419,10,10
0.18,uncertainty_halt_policy,1.740855,0.010903,10,0.828125,0.010069,10,10
0.24,causal_event_graph_containment,0.458199,0.023792,10,0.192882,0.015867,10,10
0.24,failure_aware_hierarchical_controller,0.860821,0.01363,10,0.396701,0.012704,10,10
0.24,hierarchical_pomdp_monitor,0.588862,0.028015,10,0.247569,0.020644,10,10
0.24,local_safety_filter,1.823164,0.02005,10,0.830729,0.010123,10,10
0.24,option_termination_monitor,1.271324,0.015911,10,0.600347,0.01278,10,10
0.24,oracle_containment_supervisor,-0.133421,0.015421,0,-0.076736,0.011261,0,10
0.24,proposed_hierarchical_failure_containment_graph_v4,0.22377,0.01837,10,0.092361,0.017133,10,10
0.24,reactive_retry_recovery,1.755626,0.013643,10,0.821701,0.008624,10,10
0.24,recovery_budgeted_controller,0.529704,0.018799,10,0.224479,0.01345,10,10
0.24,robust_mpc_fallback,0.880493,0.01522,10,0.392361,0.014667,10,10
0.24,uncertainty_halt_policy,1.546557,0.013657,10,0.711632,0.013367,10,10
0.3,causal_event_graph_containment,0.414282,0.024443,10,0.163542,0.016047,10,10
0.3,failure_aware_hierarchical_controller,0.609096,0.019941,10,0.236111,0.018527,10,10
0.3,hierarchical_pomdp_monitor,0.484205,0.032638,10,0.179861,0.023858,10,10
0.3,local_safety_filter,1.654985,0.020726,10,0.731424,0.008624,10,10
0.3,option_termination_monitor,0.965289,0.019611,10,0.414236,0.015873,10,10
0.3,oracle_containment_supervisor,-0.133421,0.015421,0,-0.076736,0.011261,0,10
0.3,proposed_hierarchical_failure_containment_graph_v4,0.22377,0.01837,10,0.092361,0.017133,10,10
0.3,reactive_retry_recovery,1.499111,0.013792,10,0.66493,0.01195,10,10
0.3,recovery_budgeted_controller,0.453745,0.017976,10,0.173958,0.013264,10,10
0.3,robust_mpc_fallback,0.661137,0.017622,10,0.255034,0.018996,10,10
0.3,uncertainty_halt_policy,1.232108,0.023907,10,0.520486,0.020528,10,10
