method,seed,success,containment_rate,cascade_rate,state_corruption,subgoal_corruption,damage_rate,false_halt,missed_failure,recovery_success,escalation_precision,containment_latency,ece,regret,utility,groups
anomaly_transformer_attribution,0,0.602431,0.462674,0.16059,0.059028,0.090278,0.030382,0.070313,0.302083,0.355035,0.524306,0.720965,0.068899,0.323785,0.200672,192
anomaly_transformer_attribution,1,0.610243,0.459201,0.188368,0.073785,0.070313,0.045139,0.070313,0.293403,0.37066,0.513021,0.720548,0.068788,0.317708,0.181298,192
anomaly_transformer_attribution,2,0.605903,0.439236,0.138021,0.085938,0.069445,0.033854,0.059896,0.291667,0.354167,0.53559,0.720407,0.068844,0.3125,0.216953,192
anomaly_transformer_attribution,3,0.622396,0.458333,0.144965,0.079861,0.086806,0.033854,0.069445,0.329861,0.361979,0.525174,0.7206,0.068674,0.293403,0.204766,192
anomaly_transformer_attribution,4,0.603299,0.454861,0.149306,0.072049,0.081597,0.039063,0.065972,0.295139,0.375868,0.500868,0.719409,0.068643,0.322049,0.20138,192
anomaly_transformer_attribution,5,0.644965,0.456597,0.150174,0.080729,0.081597,0.046007,0.075521,0.322049,0.392361,0.532986,0.719285,0.068678,0.284722,0.21665,192
anomaly_transformer_attribution,6,0.649306,0.442708,0.16059,0.064236,0.087674,0.040799,0.068576,0.289931,0.345486,0.519965,0.719097,0.068914,0.274305,0.238662,192
anomaly_transformer_attribution,7,0.635417,0.453993,0.16059,0.068576,0.086806,0.036458,0.072917,0.297743,0.377604,0.509549,0.719629,0.069005,0.291667,0.224797,192
anomaly_transformer_attribution,8,0.616319,0.467014,0.15625,0.068576,0.077257,0.03559,0.064236,0.313368,0.368056,0.517361,0.719174,0.068865,0.318576,0.211428,192
anomaly_transformer_attribution,9,0.615451,0.4375,0.15191,0.078125,0.077257,0.038195,0.06684,0.306424,0.371528,0.521701,0.719811,0.068981,0.309028,0.204637,192
causal_event_graph_containment,0,0.672743,0.493924,0.126736,0.047743,0.044271,0.019965,0.039931,0.264757,0.414931,0.572049,0.680118,0.034891,0.256944,0.378625,192
causal_event_graph_containment,1,0.684028,0.478299,0.110243,0.045139,0.047743,0.019965,0.024306,0.28125,0.386285,0.598958,0.680822,0.034836,0.25434,0.396623,192
causal_event_graph_containment,2,0.682292,0.500868,0.134549,0.052951,0.046007,0.015625,0.039063,0.263889,0.399306,0.596354,0.680401,0.034649,0.249132,0.385693,192
causal_event_graph_containment,3,0.670139,0.507813,0.112847,0.05816,0.052951,0.023438,0.046875,0.257813,0.393229,0.592882,0.67975,0.034634,0.243055,0.372393,192
causal_event_graph_containment,4,0.679687,0.481771,0.132813,0.046007,0.046875,0.019965,0.039931,0.255208,0.397569,0.592882,0.680383,0.034679,0.24566,0.384298,192
causal_event_graph_containment,5,0.684896,0.511285,0.112847,0.056424,0.049479,0.017361,0.03125,0.256944,0.446181,0.578125,0.679962,0.034647,0.247396,0.40676,192
causal_event_graph_containment,6,0.677951,0.476563,0.123264,0.040799,0.052951,0.021701,0.040799,0.268229,0.421007,0.604167,0.680088,0.034883,0.251736,0.381897,192
causal_event_graph_containment,7,0.686632,0.521701,0.127604,0.046875,0.061632,0.020833,0.041667,0.28559,0.409722,0.573785,0.680425,0.034479,0.249132,0.375815,192
causal_event_graph_containment,8,0.699653,0.496528,0.124132,0.046007,0.043403,0.021701,0.039931,0.274306,0.416667,0.590278,0.679742,0.034668,0.24566,0.403502,192
causal_event_graph_containment,9,0.678819,0.489583,0.118056,0.032118,0.047743,0.024306,0.032986,0.284722,0.419271,0.575521,0.680632,0.034843,0.253472,0.386164,192
failure_aware_hierarchical_controller,0,0.653646,0.451389,0.16059,0.067708,0.079861,0.026042,0.067708,0.304688,0.369792,0.534722,0.718501,0.061206,0.277778,0.259743,192
failure_aware_hierarchical_controller,1,0.654514,0.434896,0.155382,0.082465,0.072049,0.039931,0.056424,0.301215,0.366319,0.539062,0.718378,0.061212,0.278646,0.249668,192
failure_aware_hierarchical_controller,2,0.636285,0.432292,0.148438,0.073785,0.084201,0.02691,0.060764,0.28559,0.384549,0.554688,0.717287,0.061145,0.28993,0.255608,192
failure_aware_hierarchical_controller,3,0.631944,0.445313,0.148438,0.070313,0.067708,0.037326,0.072917,0.301215,0.394965,0.530382,0.718181,0.061288,0.282118,0.238197,192
failure_aware_hierarchical_controller,4,0.609375,0.458333,0.179688,0.078993,0.074653,0.033854,0.067708,0.322049,0.392361,0.560764,0.718041,0.061236,0.309896,0.187209,192
failure_aware_hierarchical_controller,5,0.62066,0.474826,0.145833,0.072049,0.065104,0.033854,0.068576,0.30816,0.380208,0.524306,0.718075,0.061229,0.30816,0.232978,192
failure_aware_hierarchical_controller,6,0.625868,0.470486,0.144965,0.075521,0.068576,0.046007,0.061632,0.304688,0.368924,0.557292,0.717501,0.061089,0.294271,0.227376,192
failure_aware_hierarchical_controller,7,0.639757,0.458333,0.155382,0.087674,0.077257,0.046007,0.060764,0.289931,0.37934,0.506076,0.718404,0.061021,0.294271,0.228602,192
failure_aware_hierarchical_controller,8,0.639757,0.426215,0.145833,0.074653,0.092014,0.03559,0.065104,0.299479,0.365451,0.523437,0.717385,0.061367,0.290799,0.235901,192
failure_aware_hierarchical_controller,9,0.636285,0.443576,0.162326,0.073785,0.068576,0.043403,0.053819,0.303819,0.37066,0.52691,0.717195,0.061109,0.284722,0.230599,192
flat_behavior_clone,0,0.337674,0.125,0.327257,0.210938,0.217882,0.154514,0.12066,0.533854,0.114583,0.173611,1.006403,0.156568,0.578993,-0.667245,192
flat_behavior_clone,1,0.332465,0.113715,0.335938,0.217882,0.243056,0.131945,0.09809,0.559896,0.131945,0.163194,1.007037,0.156613,0.590278,-0.672015,192
flat_behavior_clone,2,0.330729,0.128472,0.324653,0.225694,0.243056,0.144097,0.106771,0.541667,0.140625,0.168403,1.005838,0.156559,0.583333,-0.67662,192
flat_behavior_clone,3,0.324653,0.121528,0.340278,0.216146,0.231771,0.161458,0.104167,0.553819,0.126736,0.162326,1.006539,0.15661,0.574653,-0.706769,192
flat_behavior_clone,4,0.346354,0.107639,0.311632,0.200521,0.219618,0.151042,0.096354,0.541667,0.138021,0.197049,1.005917,0.156538,0.564236,-0.632431,192
flat_behavior_clone,5,0.354167,0.117188,0.331597,0.222222,0.216146,0.146701,0.105903,0.539931,0.140625,0.192708,1.006031,0.1567,0.570312,-0.644991,192
flat_behavior_clone,6,0.352431,0.118924,0.34809,0.192708,0.220486,0.138021,0.112847,0.5625,0.139757,0.186632,1.006278,0.15677,0.564236,-0.647508,192
flat_behavior_clone,7,0.318576,0.118924,0.324653,0.215278,0.230035,0.161458,0.09809,0.53559,0.127604,0.176215,1.005669,0.156784,0.600694,-0.690353,192
flat_behavior_clone,8,0.342882,0.119792,0.328993,0.21875,0.213542,0.132813,0.096354,0.552951,0.133681,0.180556,1.005955,0.156915,0.580729,-0.639522,192
flat_behavior_clone,9,0.328993,0.137153,0.314236,0.205729,0.234375,0.15625,0.101563,0.542535,0.145833,0.169271,1.006533,0.15688,0.583333,-0.666802,192
hierarchical_pomdp_monitor,0,0.645833,0.456597,0.125868,0.0625,0.06684,0.022569,0.051215,0.282118,0.377604,0.544271,0.7021,0.04032,0.284722,0.306006,192
hierarchical_pomdp_monitor,1,0.662326,0.463542,0.135417,0.050347,0.065972,0.022569,0.049479,0.275174,0.394097,0.564236,0.701529,0.040332,0.268229,0.330301,192
hierarchical_pomdp_monitor,2,0.666667,0.479167,0.125,0.061632,0.063368,0.022569,0.045139,0.301215,0.395833,0.565972,0.702313,0.040172,0.263889,0.327872,192
hierarchical_pomdp_monitor,3,0.636285,0.491319,0.137153,0.061632,0.06684,0.024306,0.044271,0.278646,0.404514,0.553819,0.702666,0.040249,0.277778,0.298617,192
hierarchical_pomdp_monitor,4,0.643229,0.476562,0.141493,0.050347,0.052951,0.037326,0.039931,0.269097,0.430556,0.540799,0.70185,0.04025,0.277778,0.307824,192
hierarchical_pomdp_monitor,5,0.670139,0.44184,0.128472,0.06684,0.05816,0.03559,0.041667,0.262153,0.407118,0.548611,0.702497,0.040368,0.267361,0.3307,192
hierarchical_pomdp_monitor,6,0.657986,0.475694,0.144965,0.065972,0.071181,0.03125,0.039063,0.275174,0.398438,0.555556,0.702941,0.040028,0.269965,0.305718,192
hierarchical_pomdp_monitor,7,0.644097,0.456597,0.138021,0.052083,0.048611,0.033854,0.039931,0.28125,0.363715,0.565972,0.70286,0.040497,0.282986,0.30408,192
hierarchical_pomdp_monitor,8,0.657986,0.445312,0.145833,0.054688,0.059028,0.03125,0.046875,0.284722,0.401042,0.576389,0.702754,0.040431,0.271701,0.306895,192
hierarchical_pomdp_monitor,9,0.641493,0.462674,0.139757,0.052083,0.072917,0.025174,0.039931,0.307292,0.388889,0.554688,0.702032,0.040119,0.280382,0.288427,192
hierarchy_without_containment,0,0.393229,0.198785,0.302951,0.186632,0.216146,0.138889,0.08507,0.513021,0.177951,0.231771,0.947183,0.140043,0.524305,-0.518808,192
hierarchy_without_containment,1,0.401042,0.163195,0.287326,0.193576,0.223958,0.117188,0.098958,0.478299,0.197049,0.200521,0.947215,0.14017,0.523437,-0.479732,192
hierarchy_without_containment,2,0.424479,0.223958,0.293403,0.189236,0.210069,0.102431,0.103299,0.484375,0.189236,0.196181,0.946813,0.140023,0.489583,-0.43482,192
hierarchy_without_containment,3,0.393229,0.175347,0.264757,0.186632,0.209201,0.148438,0.092882,0.480035,0.185764,0.224826,0.947434,0.140089,0.505208,-0.492468,192
hierarchy_without_containment,4,0.435764,0.19184,0.290799,0.165799,0.209201,0.113715,0.092882,0.526042,0.210938,0.239583,0.946997,0.140233,0.475694,-0.43537,192
hierarchy_without_containment,5,0.421875,0.188368,0.307292,0.200521,0.195313,0.131076,0.100695,0.509549,0.188368,0.226563,0.947293,0.140158,0.500868,-0.488453,192
hierarchy_without_containment,6,0.40625,0.179688,0.292535,0.176215,0.219618,0.115451,0.090278,0.482639,0.177083,0.221354,0.946858,0.140057,0.511285,-0.461467,192
hierarchy_without_containment,7,0.41059,0.192708,0.267361,0.165799,0.193576,0.112847,0.094618,0.482639,0.162326,0.230035,0.946802,0.140157,0.509549,-0.422392,192
hierarchy_without_containment,8,0.41059,0.18316,0.290799,0.189236,0.198785,0.127604,0.094618,0.493056,0.180556,0.237847,0.946888,0.140133,0.513889,-0.47167,192
hierarchy_without_containment,9,0.403646,0.193576,0.299479,0.190104,0.216146,0.135417,0.107639,0.522569,0.161458,0.211806,0.946673,0.139964,0.511285,-0.521253,192
local_safety_filter,0,0.487847,0.294271,0.267361,0.15625,0.173611,0.08941,0.090278,0.401042,0.243924,0.310764,0.84533,0.103364,0.428819,-0.239824,192
local_safety_filter,1,0.488715,0.307292,0.226563,0.150174,0.175347,0.09375,0.098958,0.421007,0.259549,0.288194,0.844091,0.103461,0.435764,-0.227061,192
local_safety_filter,2,0.473958,0.301215,0.266493,0.169271,0.161458,0.105035,0.104167,0.41059,0.248264,0.292535,0.84415,0.103339,0.44184,-0.281091,192
local_safety_filter,3,0.465278,0.290799,0.233507,0.163195,0.146701,0.091146,0.087674,0.413194,0.246528,0.28125,0.84389,0.103482,0.434028,-0.240273,192
local_safety_filter,4,0.484375,0.323785,0.248264,0.164063,0.171007,0.084201,0.092882,0.414931,0.258681,0.283854,0.844865,0.103335,0.430555,-0.233474,192
local_safety_filter,5,0.497396,0.309896,0.228299,0.170139,0.176215,0.083333,0.103299,0.4375,0.255208,0.3125,0.844514,0.103438,0.426215,-0.228263,192
local_safety_filter,6,0.485243,0.315972,0.233507,0.154514,0.170139,0.099826,0.081597,0.442708,0.251736,0.291667,0.844643,0.103676,0.434028,-0.243094,192
local_safety_filter,7,0.498264,0.300347,0.262153,0.157118,0.157118,0.092882,0.09809,0.403646,0.243056,0.321181,0.844525,0.103537,0.423611,-0.226228,192
local_safety_filter,8,0.506076,0.309896,0.227431,0.157118,0.161458,0.088542,0.09375,0.416667,0.264757,0.304688,0.844605,0.103613,0.422743,-0.196595,192
local_safety_filter,9,0.50434,0.302083,0.244792,0.154514,0.171875,0.099826,0.097222,0.4375,0.264757,0.311632,0.845148,0.103292,0.41059,-0.23602,192
option_termination_monitor,0,0.588542,0.409722,0.202257,0.092882,0.12066,0.059028,0.069445,0.342014,0.333333,0.490451,0.763942,0.074713,0.331597,0.068146,192
option_termination_monitor,1,0.573785,0.381076,0.197917,0.106771,0.125,0.060764,0.073785,0.374132,0.322049,0.453993,0.764263,0.074561,0.355903,0.022715,192
option_termination_monitor,2,0.611111,0.413194,0.189236,0.100695,0.121528,0.056424,0.078993,0.34809,0.320312,0.481771,0.764367,0.07459,0.310764,0.088947,192
option_termination_monitor,3,0.582465,0.400174,0.206597,0.095486,0.096354,0.054688,0.070313,0.351562,0.328125,0.471354,0.764565,0.074728,0.325521,0.066678,192
option_termination_monitor,4,0.594618,0.387153,0.188368,0.09375,0.114583,0.063368,0.065104,0.324653,0.334201,0.460069,0.764006,0.074636,0.327257,0.08691,192
option_termination_monitor,5,0.582465,0.405382,0.177951,0.11632,0.111111,0.05816,0.064236,0.350694,0.340278,0.46441,0.764151,0.074779,0.342882,0.066987,192
option_termination_monitor,6,0.59375,0.40191,0.171007,0.101563,0.102431,0.061632,0.072049,0.350694,0.323785,0.46875,0.764129,0.074755,0.328993,0.086124,192
option_termination_monitor,7,0.585069,0.389757,0.185764,0.110243,0.106771,0.051215,0.065104,0.328993,0.342882,0.434896,0.764658,0.074642,0.338542,0.08416,192
option_termination_monitor,8,0.612847,0.385417,0.196181,0.101563,0.092014,0.063368,0.071181,0.347222,0.314236,0.484375,0.763744,0.07442,0.324653,0.092898,192
