method,success,ci95_success,containment_rate,ci95_containment_rate,cascade_rate,ci95_cascade_rate,state_corruption,ci95_state_corruption,subgoal_corruption,ci95_subgoal_corruption,damage_rate,ci95_damage_rate,false_halt,ci95_false_halt,missed_failure,ci95_missed_failure,recovery_success,ci95_recovery_success,escalation_precision,ci95_escalation_precision,containment_latency,ci95_containment_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility,groups
anomaly_transformer_attribution,0.620573,0.010611,0.453212,0.00623,0.156076,0.008396,0.07309,0.005115,0.080903,0.0045,0.037934,0.003096,0.068403,0.002753,0.304167,0.008447,0.367274,0.008429,0.520052,0.006503,0.719893,0.000422,0.068829,8e-05,0.304774,0.010789,0.210124,0.009638,10
causal_event_graph_containment,0.681684,0.005073,0.495833,0.009232,0.122309,0.005286,0.047222,0.004685,0.049306,0.003334,0.020486,0.001608,0.037674,0.003972,0.269271,0.007173,0.410417,0.010727,0.5875,0.007191,0.680232,0.000224,0.034721,8.4e-05,0.249653,0.002734,0.387177,0.007155,10
failure_aware_hierarchical_controller,0.634809,0.008597,0.449566,0.010006,0.154688,0.00669,0.075695,0.003665,0.075,0.005248,0.036892,0.004409,0.063542,0.003665,0.302083,0.006129,0.377257,0.006649,0.535764,0.010796,0.717895,0.000311,0.06119,6.3e-05,0.291059,0.006914,0.234588,0.012512,10
flat_behavior_clone,0.336892,0.007366,0.120833,0.005014,0.328733,0.006872,0.212587,0.006338,0.226997,0.006793,0.14783,0.006811,0.10408,0.004888,0.546441,0.00625,0.133941,0.005666,0.176997,0.007466,1.00622,0.000257,0.156694,8.5e-05,0.57908,0.007063,-0.664426,0.014598,10
hierarchical_pomdp_monitor,0.652604,0.007315,0.464931,0.009722,0.136198,0.004652,0.057813,0.00406,0.062587,0.004842,0.028646,0.003614,0.04375,0.002698,0.281684,0.00847,0.396181,0.011041,0.557031,0.006858,0.702354,0.000291,0.040276,8.9e-05,0.274479,0.00445,0.310644,0.008849,10
hierarchy_without_containment,0.410069,0.008549,0.189063,0.009981,0.28967,0.008597,0.184375,0.007134,0.209201,0.006431,0.124306,0.008829,0.096094,0.004106,0.497222,0.011569,0.183073,0.009265,0.222049,0.009197,0.947016,0.000155,0.140103,5.1e-05,0.50651,0.009198,-0.472643,0.021329,10
local_safety_filter,0.489149,0.008025,0.305556,0.006145,0.243837,0.010216,0.159635,0.00414,0.166493,0.005904,0.092795,0.00436,0.094792,0.004355,0.419878,0.009071,0.253646,0.005059,0.299826,0.008654,0.844576,0.000283,0.103454,7.8e-05,0.428819,0.00538,-0.235192,0.012909,10
option_termination_monitor,0.590972,0.007788,0.399653,0.008413,0.191754,0.007076,0.101302,0.004866,0.111545,0.007369,0.058681,0.002395,0.069271,0.003156,0.346007,0.00839,0.331858,0.008203,0.468837,0.010207,0.764193,0.000173,0.074642,6.7e-05,0.332552,0.007628,0.073241,0.012712,10
oracle_containment_supervisor,0.915104,0.0045,0.703906,0.007724,0.018229,0.001965,0.001736,0.000841,0.002691,0.001445,0.002691,0.000692,0.002083,0.00052,0.107292,0.005429,0.574219,0.007089,0.790538,0.004364,0.481803,0.000277,0.003166,2.2e-05,0.0,0.0,0.919133,0.004869,10
proposed_hierarchical_failure_containment_graph_v4,0.741667,0.005949,0.576042,0.006214,0.091493,0.00413,0.022049,0.002313,0.028646,0.002297,0.00408,0.001191,0.030295,0.002701,0.218576,0.006049,0.470139,0.014251,0.629167,0.007738,0.610561,0.000242,0.024916,5.3e-05,0.192882,0.005264,0.562046,0.006747,10
reactive_retry_recovery,0.509028,0.010764,0.294184,0.005702,0.234375,0.008281,0.134549,0.003871,0.149132,0.007788,0.075781,0.004684,0.083333,0.005386,0.404687,0.005602,0.320226,0.009626,0.349392,0.011573,0.825667,0.000403,0.106938,6.4e-05,0.409722,0.011128,-0.149104,0.012113,10
recovery_budgeted_controller,0.66849,0.010294,0.458507,0.009991,0.13316,0.003405,0.064323,0.003331,0.070747,0.006458,0.024392,0.001613,0.038021,0.003372,0.282379,0.00766,0.425868,0.011397,0.546701,0.004798,0.691581,0.000211,0.037625,7e-05,0.259028,0.009,0.332502,0.011047,10
risk_calibrated_hierarchical_containment_v5,0.838281,0.005986,0.652431,0.010002,0.041754,0.003697,0.00217,0.000812,0.001823,0.00093,0.001823,0.00082,0.005816,0.001502,0.143316,0.006444,0.54158,0.007362,0.732031,0.008724,0.530931,0.000275,0.003284,4.5e-05,0.113108,0.006346,0.790053,0.008213,10
robust_mpc_fallback,0.628299,0.00642,0.43967,0.007391,0.164757,0.005367,0.078385,0.003822,0.090799,0.004146,0.045226,0.003379,0.053038,0.004085,0.304774,0.013134,0.380469,0.009849,0.483681,0.009553,0.721035,0.000349,0.051125,6.4e-05,0.298177,0.006634,0.202112,0.014291,10
uncertainty_halt_policy,0.523438,0.010246,0.328472,0.005746,0.229167,0.009618,0.130035,0.007078,0.138455,0.006778,0.077083,0.004406,0.069358,0.004604,0.395486,0.010942,0.28533,0.008881,0.392448,0.004862,0.82453,0.00028,0.063651,9.4e-05,0.395312,0.011428,-0.113513,0.013711,10
