method,split,success,ci95_success,containment_rate,ci95_containment_rate,cascade_rate,ci95_cascade_rate,state_corruption,ci95_state_corruption,subgoal_corruption,ci95_subgoal_corruption,damage_rate,ci95_damage_rate,false_halt,ci95_false_halt,missed_failure,ci95_missed_failure,recovery_success,ci95_recovery_success,escalation_precision,ci95_escalation_precision,containment_latency,ci95_containment_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility,groups
hierarchical_pomdp_monitor,subgoal_corruption_shift,0.683333,0.014376,0.482639,0.012992,0.124653,0.010269,0.044445,0.006637,0.051042,0.010198,0.021875,0.006809,0.035764,0.006175,0.24375,0.015873,0.411806,0.012921,0.578125,0.012559,0.641849,0.000452,0.02225,0.000101,0.260069,0.011676,0.402885,0.014913,10
hierarchy_without_containment,budget_exhaustion_shift,0.425694,0.018985,0.186458,0.013537,0.275347,0.016297,0.177083,0.014526,0.205208,0.008394,0.120139,0.010602,0.097222,0.010784,0.489583,0.02351,0.175,0.015951,0.229514,0.019073,0.951002,0.000489,0.13612,0.00011,0.491667,0.019308,-0.435736,0.03576,10
hierarchy_without_containment,combined_extreme,0.382986,0.013875,0.181597,0.014456,0.314931,0.013112,0.209722,0.016645,0.227778,0.017312,0.130556,0.011215,0.096875,0.01118,0.528819,0.024009,0.180903,0.013361,0.209722,0.015789,0.984516,0.000428,0.158079,0.000133,0.525,0.020361,-0.567203,0.026653,10
hierarchy_without_containment,cross_level_cascade_shift,0.385417,0.016327,0.172222,0.013769,0.320833,0.019039,0.191667,0.017419,0.214931,0.012931,0.132986,0.011614,0.097222,0.016232,0.501042,0.0197,0.188542,0.019035,0.211111,0.019001,0.966,0.000519,0.144942,0.000132,0.523958,0.017614,-0.539448,0.027632,10
hierarchy_without_containment,delayed_observation_shift,0.398958,0.022191,0.176736,0.01071,0.278125,0.018358,0.179514,0.013346,0.182639,0.014568,0.115972,0.012598,0.086458,0.00604,0.482639,0.01116,0.190972,0.014596,0.235417,0.015346,0.93816,0.00059,0.1307,8.9e-05,0.517708,0.026503,-0.440242,0.02746,10
hierarchy_without_containment,false_halt_shift,0.451042,0.013778,0.199306,0.01296,0.258333,0.013505,0.176042,0.01562,0.170139,0.020542,0.111111,0.005739,0.104861,0.014087,0.461111,0.021106,0.186111,0.011123,0.219444,0.009773,0.890519,0.000571,0.130304,0.000176,0.470833,0.014283,-0.353294,0.014971,10
hierarchy_without_containment,local_anomaly_shift,0.442361,0.013505,0.209028,0.016258,0.233681,0.014877,0.144445,0.00856,0.153125,0.016023,0.098611,0.011883,0.089236,0.009786,0.447569,0.013089,0.208681,0.019658,0.265625,0.012923,0.857357,0.00069,0.111073,0.000189,0.491319,0.015158,-0.28485,0.027263,10
hierarchy_without_containment,nominal,0.502083,0.011306,0.219444,0.016289,0.190972,0.011433,0.129167,0.015512,0.124653,0.009156,0.077083,0.011288,0.080903,0.009891,0.39375,0.018379,0.23125,0.011397,0.271875,0.016329,0.80881,0.000517,0.079507,0.000146,0.435417,0.017012,-0.114016,0.021376,10
hierarchy_without_containment,subgoal_corruption_shift,0.446181,0.019861,0.215972,0.017241,0.247569,0.013346,0.159028,0.012865,0.188889,0.014883,0.113542,0.013191,0.093056,0.009397,0.469444,0.011379,0.187847,0.018692,0.237847,0.017284,0.886545,0.000628,0.121271,0.000112,0.485417,0.01927,-0.348186,0.023726,10
local_safety_filter,budget_exhaustion_shift,0.507639,0.012541,0.305903,0.012811,0.253819,0.014256,0.155208,0.008789,0.156945,0.007779,0.089583,0.009667,0.089583,0.010435,0.4125,0.015211,0.241667,0.010206,0.311458,0.014492,0.848713,0.000608,0.09944,0.000139,0.409375,0.010758,-0.207623,0.018635,10
local_safety_filter,combined_extreme,0.449306,0.015089,0.289236,0.014598,0.273264,0.011877,0.18125,0.00751,0.187847,0.019447,0.098958,0.00832,0.1,0.013413,0.442361,0.015756,0.229167,0.012216,0.273264,0.014703,0.882053,0.000377,0.121405,0.000147,0.459375,0.016202,-0.345106,0.029506,10
local_safety_filter,cross_level_cascade_shift,0.480556,0.02278,0.296181,0.015049,0.238889,0.018368,0.167708,0.00902,0.165278,0.017431,0.099653,0.007527,0.097222,0.010396,0.432986,0.021426,0.268403,0.009411,0.305208,0.020554,0.863183,0.0004,0.108259,9.5e-05,0.430903,0.021793,-0.261533,0.020633,10
local_safety_filter,delayed_observation_shift,0.485069,0.01532,0.31875,0.010631,0.237153,0.017128,0.146528,0.009397,0.15625,0.018569,0.088195,0.009582,0.085417,0.007043,0.417361,0.014123,0.252083,0.014674,0.30625,0.012123,0.83592,0.000537,0.093807,0.000124,0.432986,0.017337,-0.209695,0.013144,10
local_safety_filter,false_halt_shift,0.534028,0.016098,0.324653,0.022532,0.210417,0.011076,0.135764,0.008145,0.140278,0.008971,0.078472,0.011123,0.107986,0.011453,0.360764,0.020478,0.263542,0.009323,0.273611,0.017885,0.78819,0.000625,0.093633,7.8e-05,0.389583,0.015841,-0.097941,0.032235,10
local_safety_filter,local_anomaly_shift,0.546181,0.019726,0.327083,0.013142,0.21875,0.012508,0.1125,0.011397,0.114931,0.010168,0.070833,0.010553,0.079167,0.009452,0.360069,0.020215,0.260417,0.015815,0.325,0.017342,0.754609,0.000438,0.074346,0.000202,0.390278,0.022735,-0.037273,0.028991,10
local_safety_filter,nominal,0.570486,0.014313,0.357639,0.027802,0.159028,0.015143,0.104861,0.013566,0.105556,0.01162,0.057639,0.01162,0.072917,0.007988,0.305208,0.022353,0.282639,0.010936,0.356597,0.021378,0.706877,0.000643,0.042675,0.000103,0.367708,0.013284,0.089645,0.028589,10
local_safety_filter,subgoal_corruption_shift,0.519097,0.016831,0.330903,0.016329,0.209375,0.012795,0.134375,0.013384,0.155903,0.01714,0.082986,0.007277,0.092361,0.00862,0.391667,0.01087,0.275347,0.011299,0.309375,0.022467,0.784356,0.000492,0.084711,0.000182,0.415625,0.015554,-0.126508,0.025211,10
option_termination_monitor,budget_exhaustion_shift,0.596528,0.018947,0.397222,0.015658,0.19757,0.015927,0.10625,0.0074,0.100347,0.011041,0.055208,0.008394,0.068403,0.007663,0.325347,0.016917,0.334028,0.013142,0.461458,0.014219,0.768897,0.000388,0.070743,0.000129,0.326389,0.021759,0.090441,0.028289,10
option_termination_monitor,combined_extreme,0.580208,0.018719,0.398958,0.015063,0.211806,0.014347,0.105208,0.006091,0.130903,0.014132,0.064931,0.008119,0.072917,0.007102,0.388889,0.014239,0.318056,0.021285,0.448264,0.014647,0.801685,0.000616,0.092683,9.3e-05,0.336111,0.021106,0.002543,0.021354,10
option_termination_monitor,cross_level_cascade_shift,0.574306,0.019808,0.397569,0.023906,0.19375,0.012704,0.105903,0.018041,0.11632,0.017638,0.068403,0.009994,0.071181,0.005296,0.358333,0.015346,0.337153,0.022921,0.470833,0.016239,0.782849,0.000377,0.079402,0.000115,0.342014,0.015985,0.03118,0.027568,10
option_termination_monitor,delayed_observation_shift,0.573611,0.021396,0.406944,0.017448,0.168403,0.016208,0.09132,0.009245,0.084722,0.006352,0.05625,0.008229,0.064236,0.011444,0.329167,0.015413,0.336458,0.017349,0.473958,0.01755,0.755616,0.000749,0.065186,0.000161,0.347222,0.024433,0.10386,0.023124,10
option_termination_monitor,false_halt_shift,0.594444,0.010286,0.403125,0.012066,0.155903,0.008635,0.086458,0.008635,0.084375,0.012091,0.038542,0.007206,0.079861,0.006653,0.314583,0.019012,0.345833,0.01649,0.444444,0.016295,0.707318,0.000358,0.064851,0.000131,0.333333,0.011251,0.159459,0.022176,10
option_termination_monitor,local_anomaly_shift,0.637847,0.020292,0.427431,0.01277,0.151389,0.010794,0.070486,0.009133,0.072222,0.00751,0.04375,0.0085,0.053125,0.004871,0.289931,0.018878,0.339236,0.018653,0.4875,0.018491,0.673742,0.000504,0.045626,0.000179,0.30243,0.022559,0.247649,0.030384,10
option_termination_monitor,nominal,0.650347,0.009627,0.429861,0.016194,0.121875,0.008515,0.059028,0.006336,0.071181,0.010844,0.034028,0.004844,0.054861,0.007372,0.219097,0.014682,0.376736,0.019202,0.513542,0.014037,0.625526,0.000586,0.015204,0.000142,0.294097,0.013034,0.3403,0.011827,10
option_termination_monitor,subgoal_corruption_shift,0.612847,0.019415,0.404861,0.019885,0.163889,0.01087,0.087847,0.010448,0.098611,0.011532,0.046181,0.009245,0.064583,0.008439,0.311458,0.015287,0.338194,0.013769,0.494792,0.013845,0.703342,0.000495,0.05574,0.000179,0.325694,0.016226,0.168799,0.023585,10
oracle_containment_supervisor,budget_exhaustion_shift,0.915278,0.010889,0.706944,0.013806,0.019097,0.005937,0.001042,0.00104,0.001736,0.001134,0.003472,0.002269,0.001042,0.001453,0.089931,0.008332,0.578472,0.013118,0.790278,0.013274,0.486349,0.00064,0.003182,7.2e-05,0.0,0.0,0.927175,0.012977,10
oracle_containment_supervisor,combined_extreme,0.907292,0.011833,0.681597,0.017921,0.015625,0.004214,0.000694,0.001361,0.002431,0.001772,0.000694,0.000907,0.002778,0.001698,0.139236,0.010117,0.555208,0.019127,0.775,0.011952,0.518965,0.00077,0.003171,3.3e-05,0.0,0.0,0.891185,0.010105,10
oracle_containment_supervisor,cross_level_cascade_shift,0.907639,0.00868,0.702778,0.014355,0.021528,0.006154,0.003125,0.000681,0.003125,0.00214,0.004514,0.002042,0.001736,0.001134,0.129514,0.012427,0.570486,0.016138,0.783681,0.011023,0.500428,0.000521,0.003157,8.2e-05,0.0,0.0,0.893415,0.010403,10
oracle_containment_supervisor,delayed_observation_shift,0.915278,0.009582,0.722569,0.015029,0.014236,0.004474,0.001042,0.00104,0.000694,0.000907,0.001389,0.001505,0.002431,0.00228,0.084028,0.005052,0.590972,0.013903,0.796528,0.013313,0.474174,0.000646,0.00323,7.9e-05,0.0,0.0,0.939438,0.008368,10
oracle_containment_supervisor,false_halt_shift,0.919444,0.006237,0.727778,0.014778,0.016667,0.004737,0.002083,0.001505,0.001042,0.00104,0.001042,0.00104,0.002778,0.001698,0.069097,0.010418,0.575,0.017103,0.758681,0.015056,0.42538,0.000612,0.00322,6.6e-05,0.0,0.0,0.953127,0.009066,10
oracle_containment_supervisor,local_anomaly_shift,0.932292,0.008132,0.735417,0.014519,0.014236,0.005118,0.002083,0.001505,0.001736,0.001829,0.001736,0.001134,0.001736,0.001134,0.048958,0.008515,0.601042,0.023953,0.823958,0.015587,0.39219,0.000373,0.003208,6e-05,0.0,0.0,0.986169,0.011992,10
oracle_containment_supervisor,nominal,0.934722,0.010386,0.736458,0.012277,0.011111,0.004399,0.001389,0.001111,0.001389,0.001505,0.002431,0.001453,0.000347,0.000681,0.009722,0.003485,0.620833,0.021444,0.81875,0.009878,0.345409,0.000632,0.003185,8.9e-05,0.0,0.0,1.016829,0.009371,10
oracle_containment_supervisor,subgoal_corruption_shift,0.930208,0.007888,0.724306,0.016015,0.016667,0.004514,0.002083,0.001505,0.003472,0.003365,0.002083,0.001815,0.002778,0.001361,0.070486,0.00773,0.592708,0.01879,0.813194,0.014903,0.421468,0.000622,0.003155,7.3e-05,0.0,0.0,0.964757,0.008349,10
proposed_hierarchical_failure_containment_graph_v4,budget_exhaustion_shift,0.736458,0.015633,0.574306,0.012309,0.0875,0.010484,0.022222,0.006352,0.025347,0.003665,0.003819,0.001884,0.031944,0.006866,0.204167,0.012166,0.477431,0.018325,0.630903,0.018007,0.615287,0.000631,0.020918,0.00018,0.198264,0.017468,0.566972,0.019149,10
proposed_hierarchical_failure_containment_graph_v4,combined_extreme,0.728472,0.016909,0.563542,0.019621,0.103472,0.009878,0.029167,0.003955,0.032986,0.004565,0.004861,0.002313,0.038542,0.00661,0.256944,0.011656,0.438889,0.022644,0.611111,0.017454,0.648011,0.000297,0.04072,0.000157,0.198264,0.018161,0.502721,0.017066,10
proposed_hierarchical_failure_containment_graph_v4,cross_level_cascade_shift,0.736111,0.013535,0.572917,0.015585,0.107292,0.011764,0.025,0.004399,0.028819,0.006579,0.004861,0.002905,0.028819,0.007992,0.228125,0.010643,0.467361,0.019093,0.63125,0.021032,0.629329,0.000663,0.028402,5.9e-05,0.191667,0.015379,0.537117,0.018305,10
proposed_hierarchical_failure_containment_graph_v4,delayed_observation_shift,0.738194,0.010053,0.560764,0.020624,0.090972,0.014087,0.022917,0.004207,0.023264,0.005178,0.002778,0.002223,0.026389,0.004991,0.178472,0.006745,0.472569,0.019073,0.626736,0.022486,0.602846,0.000426,0.016594,0.00018,0.199305,0.013313,0.582647,0.013318,10
proposed_hierarchical_failure_containment_graph_v4,false_halt_shift,0.760417,0.013873,0.5875,0.019667,0.067014,0.006809,0.017708,0.005315,0.020833,0.007386,0.001042,0.001453,0.034375,0.006687,0.168056,0.010104,0.473611,0.020647,0.610764,0.026112,0.554396,0.00056,0.016757,0.000171,0.181944,0.013352,0.635734,0.010025,10
proposed_hierarchical_failure_containment_graph_v4,local_anomaly_shift,0.760764,0.018774,0.579514,0.015199,0.068403,0.009077,0.014236,0.004238,0.008681,0.001522,0.002083,0.002079,0.019097,0.003086,0.169097,0.013986,0.497569,0.014059,0.626736,0.015394,0.520492,0.000196,0.00471,5.7e-05,0.188194,0.016664,0.655055,0.020246,10
proposed_hierarchical_failure_containment_graph_v4,nominal,0.792014,0.01273,0.596181,0.01532,0.058333,0.009006,0.004167,0.002833,0.004514,0.003216,0.001736,0.002091,0.012847,0.003522,0.095486,0.015888,0.505556,0.013196,0.670833,0.015512,0.47269,0.000525,0.003171,3.7e-05,0.164931,0.013583,0.747854,0.021389,10
proposed_hierarchical_failure_containment_graph_v4,subgoal_corruption_shift,0.765625,0.013545,0.593403,0.021817,0.067708,0.007809,0.011806,0.002526,0.027431,0.005955,0.002778,0.002223,0.021875,0.006959,0.18507,0.008847,0.496875,0.025291,0.643403,0.014946,0.549617,0.000723,0.009625,0.000103,0.183333,0.015041,0.641374,0.015426,10
reactive_retry_recovery,budget_exhaustion_shift,0.520833,0.0219,0.300694,0.013656,0.243403,0.012361,0.1375,0.008914,0.134722,0.011995,0.073264,0.00604,0.08507,0.007472,0.398611,0.011647,0.310069,0.013986,0.362153,0.022112,0.829999,0.000579,0.102873,0.000112,0.398611,0.021896,-0.132959,0.025828,10
reactive_retry_recovery,combined_extreme,0.468403,0.01269,0.280556,0.012944,0.252083,0.017342,0.148958,0.012689,0.170833,0.013181,0.080556,0.008891,0.086806,0.006806,0.441319,0.012277,0.307986,0.015219,0.330903,0.013034,0.863197,0.000682,0.125084,0.000197,0.442708,0.017014,-0.251633,0.0174,10
