method,split,success,ci95_success,containment_rate,ci95_containment_rate,cascade_rate,ci95_cascade_rate,state_corruption,ci95_state_corruption,subgoal_corruption,ci95_subgoal_corruption,damage_rate,ci95_damage_rate,false_halt,ci95_false_halt,missed_failure,ci95_missed_failure,recovery_success,ci95_recovery_success,escalation_precision,ci95_escalation_precision,containment_latency,ci95_containment_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility,groups
anomaly_transformer_attribution,budget_exhaustion_shift,0.614931,0.023802,0.446181,0.016647,0.155903,0.010758,0.069097,0.011498,0.076042,0.010995,0.038542,0.006452,0.075,0.00697,0.303472,0.014639,0.351736,0.01661,0.508333,0.020647,0.724155,0.000578,0.064874,8.4e-05,0.309722,0.02701,0.203162,0.015777,10
anomaly_transformer_attribution,combined_extreme,0.593403,0.018104,0.445833,0.015326,0.173958,0.015797,0.084722,0.010842,0.079514,0.007756,0.045139,0.007102,0.075,0.008856,0.344792,0.022504,0.374653,0.018047,0.499306,0.01597,0.757401,0.000528,0.08683,0.000134,0.325,0.019677,0.129249,0.024499,10
anomaly_transformer_attribution,cross_level_cascade_shift,0.618056,0.010396,0.452083,0.021227,0.1625,0.014412,0.081597,0.006356,0.097222,0.009187,0.039931,0.005671,0.067361,0.00659,0.305903,0.02146,0.36875,0.020056,0.507639,0.018114,0.73814,0.000694,0.073542,0.00015,0.299305,0.01597,0.185619,0.019329,10
anomaly_transformer_attribution,delayed_observation_shift,0.636458,0.011162,0.461458,0.014542,0.138542,0.007953,0.063889,0.009254,0.065625,0.010269,0.037847,0.008754,0.057639,0.008129,0.263194,0.015075,0.371875,0.0195,0.539931,0.019757,0.711233,0.000125,0.0593,9.3e-05,0.2875,0.014087,0.27655,0.021432,10
anomaly_transformer_attribution,false_halt_shift,0.648958,0.015233,0.464931,0.015959,0.138889,0.009571,0.060764,0.005671,0.066667,0.011909,0.033681,0.005276,0.081597,0.011309,0.248958,0.017921,0.371875,0.016467,0.497569,0.01925,0.662678,0.00071,0.058876,0.00012,0.282292,0.017485,0.295842,0.025145,10
anomaly_transformer_attribution,local_anomaly_shift,0.656944,0.019875,0.492014,0.012049,0.124306,0.009506,0.048611,0.006955,0.057986,0.007459,0.026389,0.006352,0.055903,0.008455,0.242014,0.013575,0.379167,0.022268,0.563194,0.013063,0.630114,0.000753,0.039746,0.000126,0.284375,0.019684,0.357781,0.02501,10
anomaly_transformer_attribution,nominal,0.685069,0.024392,0.478472,0.01919,0.109028,0.007673,0.035417,0.007779,0.035069,0.005315,0.01875,0.004445,0.051042,0.007105,0.187847,0.011041,0.398611,0.017271,0.572917,0.017395,0.581261,0.000573,0.01093,0.00016,0.260069,0.023585,0.457614,0.030945,10
anomaly_transformer_attribution,subgoal_corruption_shift,0.655903,0.014328,0.46875,0.012508,0.131945,0.006496,0.056945,0.008739,0.070833,0.011261,0.028125,0.005598,0.05625,0.011058,0.2625,0.013732,0.373958,0.017188,0.564931,0.012469,0.659874,0.000786,0.05007,0.000218,0.285069,0.013514,0.322468,0.017537,10
causal_event_graph_containment,budget_exhaustion_shift,0.666319,0.020047,0.487847,0.012436,0.123958,0.011877,0.045833,0.010286,0.048958,0.005689,0.019792,0.005078,0.033333,0.003686,0.264236,0.012023,0.388889,0.012992,0.589583,0.021801,0.684268,0.00043,0.030661,0.000103,0.263889,0.015552,0.374156,0.022307,10
causal_event_graph_containment,combined_extreme,0.665972,0.016633,0.496181,0.019341,0.133333,0.008001,0.057639,0.00627,0.052431,0.007822,0.026389,0.003823,0.050695,0.012012,0.289931,0.015124,0.398611,0.017828,0.554167,0.016207,0.718287,0.000312,0.052065,0.000115,0.255903,0.017515,0.327232,0.023083,10
causal_event_graph_containment,cross_level_cascade_shift,0.669792,0.013964,0.492361,0.014938,0.12882,0.014995,0.05,0.009364,0.054167,0.00862,0.022569,0.003693,0.036111,0.005575,0.295486,0.007756,0.423958,0.017409,0.601389,0.021588,0.698901,0.000412,0.038845,0.000172,0.257986,0.018036,0.352176,0.020011,10
causal_event_graph_containment,delayed_observation_shift,0.678819,0.021141,0.488542,0.022458,0.113542,0.008905,0.038542,0.008017,0.046528,0.005093,0.013542,0.005689,0.034028,0.007087,0.235069,0.01617,0.420486,0.018161,0.586111,0.015938,0.671126,0.000555,0.025624,0.000129,0.251042,0.017367,0.422225,0.023964,10
causal_event_graph_containment,false_halt_shift,0.694792,0.014001,0.519792,0.024664,0.114583,0.005463,0.032986,0.005487,0.04132,0.006125,0.007639,0.004033,0.052431,0.00604,0.228819,0.016746,0.444097,0.020403,0.565625,0.02265,0.623497,0.000689,0.02545,0.000192,0.240972,0.014603,0.454679,0.019834,10
causal_event_graph_containment,local_anomaly_shift,0.695833,0.011397,0.523264,0.012994,0.095833,0.011926,0.021875,0.00634,0.025694,0.005482,0.009722,0.002646,0.027778,0.005916,0.2,0.01439,0.438889,0.017043,0.623958,0.015521,0.589932,0.000454,0.009627,0.000116,0.246875,0.010015,0.510865,0.019159,10
causal_event_graph_containment,nominal,0.741319,0.011623,0.530556,0.017712,0.06875,0.012417,0.017361,0.006653,0.019097,0.003248,0.004514,0.001772,0.017361,0.00497,0.15,0.011952,0.445833,0.014319,0.621528,0.011875,0.541817,0.000553,0.003195,0.000109,0.206944,0.017578,0.620067,0.015957,10
causal_event_graph_containment,subgoal_corruption_shift,0.724653,0.011254,0.506944,0.022342,0.103125,0.009891,0.035417,0.006559,0.041667,0.006416,0.013194,0.004844,0.030556,0.004627,0.227431,0.017373,0.430208,0.02365,0.604861,0.021372,0.619473,0.000724,0.017312,0.000169,0.220833,0.010104,0.495144,0.017479,10
failure_aware_hierarchical_controller,budget_exhaustion_shift,0.640278,0.014603,0.437847,0.02233,0.157292,0.010739,0.077778,0.013806,0.074306,0.010104,0.029514,0.006023,0.060764,0.008917,0.284375,0.020802,0.378125,0.014857,0.550694,0.016239,0.722395,0.00058,0.057227,0.000154,0.284028,0.015645,0.253897,0.021867,10
failure_aware_hierarchical_controller,combined_extreme,0.599306,0.02253,0.453819,0.018263,0.166667,0.012425,0.090625,0.009323,0.084722,0.015054,0.048958,0.007062,0.080208,0.006372,0.342708,0.013423,0.371528,0.01116,0.505208,0.020093,0.754998,0.000347,0.079156,0.000154,0.318403,0.019008,0.132563,0.020057,10
failure_aware_hierarchical_controller,cross_level_cascade_shift,0.623611,0.018239,0.444097,0.012444,0.152778,0.012793,0.076389,0.008366,0.070139,0.007713,0.036458,0.008859,0.060417,0.006352,0.311111,0.011576,0.368403,0.02146,0.528472,0.021348,0.73659,0.000697,0.066085,0.000143,0.295139,0.014021,0.219604,0.024368,10
failure_aware_hierarchical_controller,delayed_observation_shift,0.65,0.019641,0.452778,0.020547,0.134722,0.009342,0.065625,0.009323,0.075695,0.011952,0.030903,0.006532,0.06007,0.007105,0.270486,0.010758,0.388194,0.026703,0.55,0.013235,0.708604,0.000389,0.05161,0.000145,0.276389,0.015224,0.293395,0.019143,10
failure_aware_hierarchical_controller,false_halt_shift,0.648958,0.012402,0.454861,0.022821,0.136458,0.013112,0.052083,0.00896,0.06632,0.011453,0.022222,0.004991,0.076389,0.010145,0.260069,0.00986,0.386806,0.013881,0.496875,0.017585,0.661508,0.000783,0.051426,0.000181,0.279861,0.010889,0.314126,0.018595,10
failure_aware_hierarchical_controller,local_anomaly_shift,0.677431,0.015862,0.459375,0.027147,0.125695,0.010084,0.045139,0.006336,0.052083,0.008242,0.022569,0.004677,0.052083,0.009408,0.257292,0.00827,0.401042,0.017783,0.553472,0.023514,0.627579,0.000671,0.032167,0.000109,0.264236,0.019579,0.381317,0.012644,10
failure_aware_hierarchical_controller,nominal,0.710069,0.012436,0.477778,0.023991,0.104861,0.012038,0.030208,0.005653,0.04132,0.006372,0.014931,0.005276,0.044445,0.00428,0.186806,0.018199,0.424306,0.024238,0.574653,0.018878,0.580063,0.000479,0.006295,6.5e-05,0.237153,0.012714,0.496864,0.019229,10
failure_aware_hierarchical_controller,subgoal_corruption_shift,0.676042,0.015946,0.4625,0.018396,0.142014,0.012151,0.057986,0.007459,0.070833,0.008378,0.032639,0.006896,0.052778,0.009232,0.270139,0.015245,0.390972,0.018795,0.558681,0.018274,0.657595,0.000698,0.042293,0.000146,0.266667,0.015938,0.332289,0.020221,10
flat_behavior_clone,budget_exhaustion_shift,0.347569,0.021195,0.119097,0.010097,0.326389,0.016639,0.207292,0.015049,0.21875,0.018513,0.144097,0.011929,0.111806,0.01777,0.538194,0.010094,0.128472,0.010927,0.170486,0.015731,1.011074,0.000438,0.152747,0.000101,0.568403,0.018872,-0.642532,0.028671,10
flat_behavior_clone,combined_extreme,0.311806,0.013717,0.120833,0.007087,0.364236,0.017731,0.232292,0.009595,0.235764,0.016899,0.162847,0.011632,0.11007,0.012386,0.581944,0.010553,0.123958,0.009891,0.163542,0.009212,1.043332,0.000455,0.174782,0.000151,0.595486,0.021551,-0.76884,0.01732,10
flat_behavior_clone,cross_level_cascade_shift,0.317708,0.011171,0.107986,0.011408,0.353819,0.016622,0.230208,0.016733,0.241667,0.013467,0.151736,0.014981,0.10382,0.010015,0.553472,0.013,0.129514,0.00952,0.178125,0.013152,1.024879,0.000574,0.161395,8.5e-05,0.592014,0.011885,-0.727249,0.02137,10
flat_behavior_clone,delayed_observation_shift,0.345139,0.016738,0.129167,0.011866,0.303819,0.018741,0.211806,0.015815,0.214236,0.015946,0.126389,0.00659,0.094097,0.009268,0.516319,0.016454,0.144792,0.010148,0.183681,0.01277,0.997538,0.000538,0.147184,0.00015,0.570833,0.021358,-0.589788,0.022234,10
flat_behavior_clone,false_halt_shift,0.369444,0.013694,0.14132,0.014981,0.278819,0.019357,0.190278,0.013977,0.187153,0.013853,0.13507,0.007347,0.10382,0.010269,0.493403,0.014219,0.148958,0.015731,0.146875,0.018093,0.949466,0.000648,0.146874,0.000122,0.551042,0.01148,-0.521973,0.02635,10
flat_behavior_clone,local_anomaly_shift,0.396875,0.016548,0.14375,0.012475,0.257639,0.016909,0.182986,0.010249,0.186458,0.010448,0.117708,0.007756,0.089583,0.008715,0.509028,0.010155,0.161111,0.010455,0.209722,0.012921,0.91593,0.000358,0.127661,0.000157,0.535764,0.020867,-0.449871,0.015732,10
flat_behavior_clone,nominal,0.442361,0.026362,0.158681,0.010643,0.208681,0.020072,0.143403,0.01251,0.161458,0.009201,0.103472,0.011058,0.087847,0.010739,0.436458,0.015454,0.173264,0.015567,0.208333,0.014526,0.868347,0.000543,0.095998,0.000127,0.49375,0.030701,-0.280507,0.02946,10
flat_behavior_clone,subgoal_corruption_shift,0.370486,0.0189,0.135417,0.01311,0.270486,0.01269,0.180556,0.015386,0.211806,0.013762,0.132639,0.014412,0.090625,0.007277,0.512153,0.013237,0.15382,0.009301,0.195833,0.014639,0.945595,0.000736,0.137851,0.000106,0.560417,0.014848,-0.519082,0.031841,10
hierarchical_pomdp_monitor,budget_exhaustion_shift,0.647917,0.014355,0.469444,0.01613,0.120833,0.007975,0.058333,0.008167,0.0625,0.009187,0.027431,0.005016,0.045833,0.007159,0.274653,0.012811,0.396528,0.016162,0.556944,0.013844,0.70667,0.000479,0.036173,0.000151,0.27743,0.016807,0.319054,0.019729,10
hierarchical_pomdp_monitor,combined_extreme,0.624653,0.018719,0.447569,0.014612,0.141667,0.012825,0.069792,0.009755,0.069097,0.006764,0.0375,0.009614,0.046875,0.006436,0.321875,0.024222,0.383681,0.020347,0.535764,0.020594,0.739805,0.000627,0.0579,0.000104,0.293403,0.018714,0.230434,0.02097,10
hierarchical_pomdp_monitor,cross_level_cascade_shift,0.654514,0.01807,0.460069,0.012352,0.157639,0.015559,0.058681,0.00661,0.067708,0.009901,0.027778,0.004422,0.046528,0.006188,0.286458,0.009312,0.392708,0.020428,0.557292,0.013198,0.721093,0.000467,0.044782,0.000167,0.267014,0.012151,0.290202,0.019307,10
hierarchical_pomdp_monitor,delayed_observation_shift,0.665972,0.016818,0.459722,0.02371,0.127778,0.007441,0.05625,0.008476,0.059028,0.006575,0.026042,0.003962,0.038889,0.007159,0.250694,0.012984,0.398264,0.012754,0.565625,0.018161,0.693732,0.000586,0.030939,0.000109,0.260417,0.015116,0.352756,0.021565,10
hierarchical_pomdp_monitor,false_halt_shift,0.673611,0.017689,0.469097,0.019944,0.107292,0.012361,0.049653,0.012006,0.041319,0.00769,0.019097,0.006594,0.055208,0.006452,0.249653,0.016404,0.414236,0.013034,0.529514,0.019068,0.645635,0.000819,0.030676,0.000186,0.261458,0.016825,0.392735,0.022831,10
hierarchical_pomdp_monitor,local_anomaly_shift,0.692014,0.014313,0.477778,0.01065,0.105556,0.010553,0.038194,0.006881,0.045833,0.008292,0.015625,0.00383,0.032986,0.006974,0.2375,0.012309,0.408681,0.024073,0.579514,0.016119,0.611377,0.000423,0.013644,0.000144,0.247917,0.011709,0.444121,0.018102,10
hierarchical_pomdp_monitor,nominal,0.721528,0.019588,0.502778,0.022839,0.09132,0.011069,0.031944,0.00581,0.032292,0.004871,0.007986,0.004543,0.026736,0.007032,0.163889,0.008536,0.437847,0.020999,0.592708,0.011208,0.564728,0.000665,0.003212,6.4e-05,0.226042,0.021024,0.549283,0.021373,10
