method,risk_budget,seed,covered,success,containment_rate,cascade_rate,state_corruption,subgoal_corruption,damage_rate,false_halt,missed_failure,recovery_success,escalation_precision,containment_latency,ece,regret,utility,groups
causal_event_graph_containment,0.12,0,0.322917,0.225694,0.168403,0.111111,0.055556,0.0625,0.032986,0.039931,0.75,0.145833,0.585069,0.680475,0.034612,0.692709,-0.363921,192
causal_event_graph_containment,0.12,1,0.324653,0.217014,0.184028,0.116319,0.046875,0.0625,0.020833,0.045139,0.727431,0.157986,0.581597,0.681657,0.034843,0.699653,-0.348131,192
causal_event_graph_containment,0.12,2,0.317708,0.196181,0.182292,0.147569,0.038194,0.03125,0.019097,0.045139,0.739583,0.142361,0.597222,0.679175,0.034853,0.715277,-0.373317,192
causal_event_graph_containment,0.12,3,0.328125,0.237847,0.173611,0.121528,0.043403,0.043403,0.019097,0.034722,0.717014,0.152778,0.579861,0.678935,0.034705,0.677084,-0.309809,192
causal_event_graph_containment,0.12,4,0.331597,0.241319,0.184028,0.131944,0.046875,0.060764,0.015625,0.043403,0.723958,0.152778,0.560764,0.679665,0.034482,0.689237,-0.325817,192
causal_event_graph_containment,0.12,5,0.326389,0.206597,0.154514,0.130208,0.045139,0.057292,0.008681,0.043403,0.748264,0.170139,0.579861,0.680221,0.034565,0.725695,-0.361983,192
causal_event_graph_containment,0.12,6,0.317708,0.201389,0.173611,0.107639,0.03125,0.052083,0.013889,0.026042,0.751736,0.147569,0.574653,0.680067,0.034742,0.697917,-0.342515,192
causal_event_graph_containment,0.12,7,0.317708,0.229167,0.1875,0.123264,0.053819,0.055556,0.019097,0.034722,0.755208,0.144097,0.571181,0.680792,0.034831,0.689236,-0.348134,192
causal_event_graph_containment,0.12,8,0.328125,0.225694,0.170139,0.142361,0.071181,0.050347,0.024306,0.038194,0.734375,0.131944,0.592014,0.680715,0.034774,0.677084,-0.369622,192
causal_event_graph_containment,0.12,9,0.328125,0.199653,0.173611,0.116319,0.036458,0.057292,0.003472,0.045139,0.746528,0.166667,0.565972,0.679469,0.034964,0.708333,-0.348873,192
causal_event_graph_containment,0.18,0,0.71875,0.489583,0.357639,0.111111,0.055556,0.0625,0.032986,0.039931,0.467014,0.3125,0.585069,0.680475,0.034612,0.42882,0.064078,192
causal_event_graph_containment,0.18,1,0.725694,0.486111,0.364583,0.116319,0.046875,0.0625,0.020833,0.045139,0.447917,0.3125,0.581597,0.681657,0.034843,0.430556,0.081717,192
causal_event_graph_containment,0.18,2,0.717014,0.463542,0.373264,0.147569,0.038194,0.03125,0.019097,0.045139,0.434028,0.303819,0.597222,0.679175,0.034853,0.447916,0.068353,192
causal_event_graph_containment,0.18,3,0.71875,0.508681,0.359375,0.121528,0.043403,0.043403,0.019097,0.034722,0.420139,0.328125,0.579861,0.678935,0.034705,0.40625,0.131767,192
causal_event_graph_containment,0.18,4,0.71875,0.496528,0.352431,0.131944,0.046875,0.060764,0.015625,0.043403,0.449653,0.315972,0.560764,0.679665,0.034482,0.434028,0.087078,192
