case_id,split,task,regime,seed,strongest_baseline,success_gap,v5_success,baseline_success,v5_containment_rate,v5_cascade_rate,v5_state_corruption,v5_subgoal_corruption,v5_damage_rate,v5_false_halt,v5_missed_failure,lesson
11,combined_extreme,mobile_manip_recovery,cross_level_cascade,3,proposed_hierarchical_failure_containment_graph_v4,-0.166666,0.666667,0.833333,0.333333,0.0,0.0,0.0,0.0,0.0,0.666667,delayed failure observation can still hide the true cascade
12,budget_exhaustion_shift,tool_use_after_delay,compositional_failure_chain,5,proposed_hierarchical_failure_containment_graph_v4,-0.166667,0.5,0.666667,0.666667,0.166667,0.0,0.0,0.0,0.0,0.5,delayed failure observation can still hide the true cascade
13,budget_exhaustion_shift,tool_use_after_delay,cross_level_cascade,4,proposed_hierarchical_failure_containment_graph_v4,-0.166667,0.833333,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.666667,delayed failure observation can still hide the true cascade
14,cross_level_cascade_shift,deformable_sorting,recovery_budget_exhaustion,0,proposed_hierarchical_failure_containment_graph_v4,-0.166666,0.666667,0.833333,0.666667,0.0,0.0,0.0,0.0,0.0,0.666667,delayed failure observation can still hide the true cascade
15,cross_level_cascade_shift,tool_use_after_delay,cross_level_cascade,2,proposed_hierarchical_failure_containment_graph_v4,0.0,0.666667,0.666667,0.333333,0.166667,0.0,0.0,0.0,0.0,0.666667,delayed failure observation can still hide the true cascade
16,cross_level_cascade_shift,deformable_sorting,compositional_failure_chain,7,proposed_hierarchical_failure_containment_graph_v4,0.0,0.5,0.5,0.833333,0.333333,0.0,0.0,0.0,0.0,0.5,delayed failure observation can still hide the true cascade
17,cross_level_cascade_shift,multi_stage_assembly,cross_level_cascade,0,proposed_hierarchical_failure_containment_graph_v4,-0.166666,0.666667,0.833333,0.666667,0.166667,0.0,0.166667,0.0,0.0,0.5,delayed failure observation can still hide the true cascade
18,combined_extreme,mobile_manip_recovery,recovery_budget_exhaustion,5,proposed_hierarchical_failure_containment_graph_v4,-0.166667,0.833333,1.0,0.833333,0.166667,0.0,0.0,0.0,0.0,0.5,delayed failure observation can still hide the true cascade
19,combined_extreme,multi_stage_assembly,recovery_budget_exhaustion,0,proposed_hierarchical_failure_containment_graph_v4,-0.333334,0.333333,0.666667,0.5,0.166667,0.0,0.0,0.0,0.0,0.333333,delayed failure observation can still hide the true cascade
20,cross_level_cascade_shift,mobile_manip_recovery,compositional_failure_chain,5,proposed_hierarchical_failure_containment_graph_v4,-0.166666,0.666667,0.833333,0.333333,0.333333,0.0,0.0,0.0,0.0,0.333333,delayed failure observation can still hide the true cascade
21,combined_extreme,mobile_manip_recovery,cross_level_cascade,0,proposed_hierarchical_failure_containment_graph_v4,-0.333333,0.5,0.833333,0.833333,0.166667,0.0,0.0,0.0,0.0,0.333333,delayed failure observation can still hide the true cascade
22,subgoal_corruption_shift,tool_use_after_delay,compositional_failure_chain,5,proposed_hierarchical_failure_containment_graph_v4,-0.333333,0.5,0.833333,0.5,0.0,0.0,0.0,0.0,0.0,0.5,delayed failure observation can still hide the true cascade
23,cross_level_cascade_shift,tool_use_after_delay,cross_level_cascade,0,proposed_hierarchical_failure_containment_graph_v4,-0.5,0.5,1.0,0.833333,0.0,0.0,0.0,0.0,0.0,0.333333,delayed failure observation can still hide the true cascade
24,budget_exhaustion_shift,mobile_base_arm_coordination,recovery_budget_exhaustion,4,proposed_hierarchical_failure_containment_graph_v4,-0.5,0.333333,0.833333,0.666667,0.0,0.0,0.0,0.0,0.0,0.333333,delayed failure observation can still hide the true cascade
