case_id,split,task,regime,seed,strongest_baseline,success_gap,v5_success,baseline_success,v5_containment_rate,v5_cascade_rate,v5_state_corruption,v5_subgoal_corruption,v5_damage_rate,v5_false_halt,v5_missed_failure,lesson
1,subgoal_corruption_shift,deformable_sorting,compositional_failure_chain,3,proposed_hierarchical_failure_containment_graph_v4,-0.166667,0.833333,1.0,0.833333,0.166667,0.0,0.0,0.0,0.0,0.666667,delayed failure observation can still hide the true cascade
2,combined_extreme,contact_rich_insertion,cross_level_cascade,4,proposed_hierarchical_failure_containment_graph_v4,-0.5,0.5,1.0,0.666667,0.333333,0.0,0.0,0.0,0.0,0.166667,cross-level cascades remain the most adversarial cases
3,subgoal_corruption_shift,multi_stage_assembly,compositional_failure_chain,6,proposed_hierarchical_failure_containment_graph_v4,-0.166667,0.5,0.666667,1.0,0.5,0.0,0.0,0.0,0.0,0.333333,delayed failure observation can still hide the true cascade
4,subgoal_corruption_shift,mobile_manip_recovery,compositional_failure_chain,5,proposed_hierarchical_failure_containment_graph_v4,-0.5,0.5,1.0,0.333333,0.166667,0.0,0.0,0.0,0.0,0.333333,delayed failure observation can still hide the true cascade
5,subgoal_corruption_shift,deformable_sorting,cross_level_cascade,6,proposed_hierarchical_failure_containment_graph_v4,-0.666667,0.333333,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.333333,delayed failure observation can still hide the true cascade
6,combined_extreme,mobile_manip_recovery,compositional_failure_chain,8,proposed_hierarchical_failure_containment_graph_v4,-0.166666,0.666667,0.833333,0.5,0.0,0.0,0.0,0.0,0.333333,0.333333,false-halt calibration remains the fragile boundary
7,combined_extreme,tool_use_after_delay,compositional_failure_chain,9,proposed_hierarchical_failure_containment_graph_v4,0.166666,0.833333,0.666667,0.666667,0.333333,0.0,0.0,0.0,0.0,0.666667,delayed failure observation can still hide the true cascade
8,combined_extreme,tool_use_after_delay,recovery_budget_exhaustion,4,proposed_hierarchical_failure_containment_graph_v4,0.0,0.666667,0.666667,0.666667,0.166667,0.0,0.0,0.0,0.0,0.666667,delayed failure observation can still hide the true cascade
9,combined_extreme,tool_use_after_delay,compositional_failure_chain,3,proposed_hierarchical_failure_containment_graph_v4,-0.166666,0.666667,0.833333,0.666667,0.166667,0.0,0.0,0.0,0.0,0.5,delayed failure observation can still hide the true cascade
10,combined_extreme,mobile_base_arm_coordination,recovery_budget_exhaustion,0,proposed_hierarchical_failure_containment_graph_v4,-0.166666,0.666667,0.833333,0.166667,0.0,0.0,0.0,0.0,0.0,0.666667,delayed failure observation can still hide the true cascade
