ablation,success,ci95_success,containment_rate,ci95_containment_rate,cascade_rate,ci95_cascade_rate,state_corruption,ci95_state_corruption,subgoal_corruption,ci95_subgoal_corruption,damage_rate,ci95_damage_rate,false_halt,ci95_false_halt,missed_failure,ci95_missed_failure,recovery_success,ci95_recovery_success,escalation_precision,ci95_escalation_precision,containment_latency,ci95_containment_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility,groups,interpretation
full_risk_calibrated_hierarchical_containment_v5,0.840451,0.005849,0.653212,0.005236,0.047135,0.002407,0.002431,0.000871,0.002778,0.000611,0.001997,0.000951,0.005642,0.001223,0.145052,0.007934,0.533594,0.006521,0.726302,0.007464,0.531186,0.000239,0.003277,3.9e-05,0.000000,0.00015,0.78665,0.008074,10,all components
no_corruption_predictor,0.726128,0.009568,0.557292,0.007377,0.093229,0.006208,0.045747,0.002297,0.037934,0.004035,0.023785,0.003642,0.015799,0.002266,0.225608,0.005577,0.486892,0.009389,0.590017,0.009921,0.57702,0.000231,0.005349,6.5e-05,0.101703,0.000159,0.516137,0.012408,10,removes state/subgoal corruption predictor
no_cross_level_escalation_model,0.710503,0.007669,0.540625,0.010292,0.135069,0.007997,0.050174,0.004471,0.063542,0.004056,0.00625,0.0011,0.009809,0.00072,0.242882,0.007646,0.468229,0.006083,0.475781,0.012387,0.657052,0.000239,0.00439,4.1e-05,0.121851,0.000193,0.454019,0.008382,10,removes cross-level escalation model
no_delayed_observation_buffer,0.759028,0.007007,0.588976,0.006859,0.072222,0.004112,0.018403,0.002923,0.022396,0.003145,0.003385,0.000737,0.009375,0.002179,0.204948,0.007678,0.499045,0.01048,0.646441,0.006575,0.583497,0.000221,0.006908,7.8e-05,0.066793,0.000166,0.623739,0.009261,10,drops delayed failure observations
no_escalation_utility_model,0.763455,0.006193,0.604601,0.00932,0.071528,0.003738,0.014497,0.002255,0.017969,0.00255,0.00191,0.000942,0.019444,0.001815,0.191927,0.006803,0.484549,0.008833,0.610938,0.010062,0.583382,0.000326,0.006804,3.1e-05,0.064625,9.6e-05,0.63601,0.005835,10,does not price local repair versus escalation
no_false_halt_calibration,0.78559,0.004473,0.619184,0.009173,0.057118,0.003382,0.007031,0.001672,0.008594,0.001801,0.002691,0.000895,0.092014,0.003365,0.173958,0.005187,0.50191,0.005415,0.675,0.011747,0.562154,0.000192,0.009804,6.7e-05,0.048114,0.00026,0.658107,0.004537,10,over-halts valid skills
no_local_containment_graph,0.728385,0.008758,0.453299,0.005556,0.09783,0.006234,0.026736,0.00301,0.035937,0.002838,0.009201,0.001439,0.00625,0.000871,0.252083,0.009708,0.478906,0.009415,0.689583,0.011062,0.698485,0.000263,0.003723,2.6e-05,0.104086,0.000257,0.509389,0.009312,10,removes skill-local containment edges
no_recovery_budget_memory,0.753038,0.008921,0.60625,0.012621,0.100521,0.006154,0.010243,0.00162,0.0125,0.002079,0.00191,0.000942,0.007639,0.002223,0.19184,0.008446,0.435503,0.01109,0.664844,0.007003,0.585631,0.00032,0.005413,3.4e-05,0.076837,0.000181,0.615465,0.012085,10,forgets remaining recovery budget
no_risk_calibration,0.785503,0.006063,0.601562,0.00835,0.063628,0.005073,0.010503,0.001202,0.010764,0.001394,0.001736,0.000841,0.032639,0.003873,0.181424,0.009074,0.506597,0.008188,0.660851,0.009127,0.571395,0.000313,0.0966,8.2e-05,0.053499,0.000224,0.66445,0.006748,10,removes calibrated deployment risk
v4_containment_graph_rules,0.746354,0.008392,0.563715,0.010516,0.093316,0.004959,0.022222,0.003338,0.026302,0.002473,0.004948,0.001107,0.02934,0.003186,0.210677,0.005302,0.467187,0.011424,0.626042,0.007159,0.61081,0.000283,0.024968,5.5e-05,0.093534,0.000221,0.568059,0.010208,10,prior v4 rule proxy
