method,split,stress_level,seed,success,containment_rate,cascade_rate,state_corruption,subgoal_corruption,damage_rate,false_halt,missed_failure,recovery_success,escalation_precision,containment_latency,ece,regret,utility,groups
anomaly_transformer_attribution,stress_00,0.05,0,0.6875,0.559028,0.100694,0.045139,0.048611,0.024306,0.041667,0.194444,0.378472,0.5625,0.599052,0.011588,0.246528,0.453056,48
anomaly_transformer_attribution,stress_00,0.05,1,0.704861,0.555556,0.076389,0.055556,0.013889,0.024306,0.055556,0.194444,0.40625,0.486111,0.599267,0.011624,0.222222,0.488062,48
anomaly_transformer_attribution,stress_00,0.05,2,0.673611,0.465278,0.097222,0.038194,0.055556,0.020833,0.045139,0.194444,0.378472,0.552083,0.599396,0.011196,0.270833,0.433696,48
anomaly_transformer_attribution,stress_00,0.05,3,0.711806,0.472222,0.114583,0.013889,0.069444,0.006944,0.034722,0.197917,0.458333,0.506944,0.598089,0.01156,0.243055,0.490009,48
anomaly_transformer_attribution,stress_00,0.05,4,0.6875,0.489583,0.131944,0.038194,0.038194,0.013889,0.048611,0.236111,0.375,0.625,0.59733,0.011181,0.225694,0.426302,48
anomaly_transformer_attribution,stress_00,0.05,5,0.666667,0.506944,0.097222,0.069444,0.027778,0.027778,0.052083,0.142361,0.430556,0.607639,0.598631,0.011335,0.211805,0.446715,48
anomaly_transformer_attribution,stress_00,0.05,6,0.673611,0.461806,0.100694,0.041667,0.065972,0.020833,0.045139,0.173611,0.371528,0.572917,0.598392,0.011068,0.270833,0.434635,48
anomaly_transformer_attribution,stress_00,0.05,7,0.666667,0.420139,0.09375,0.048611,0.038194,0.024306,0.055556,0.1875,0.423611,0.53125,0.599653,0.011117,0.274305,0.423746,48
anomaly_transformer_attribution,stress_00,0.05,8,0.732639,0.496528,0.111111,0.055556,0.052083,0.024306,0.072917,0.149306,0.413194,0.597222,0.597873,0.011645,0.208333,0.489016,48
anomaly_transformer_attribution,stress_00,0.05,9,0.708333,0.503472,0.09375,0.041667,0.038194,0.027778,0.0625,0.225694,0.392361,0.576389,0.598841,0.011242,0.222223,0.453454,48
anomaly_transformer_attribution,stress_01,0.15,0,0.663194,0.472222,0.111111,0.052083,0.065972,0.024306,0.059028,0.229167,0.350694,0.569444,0.619,0.018951,0.291667,0.372796,48
anomaly_transformer_attribution,stress_01,0.15,1,0.677083,0.472222,0.118056,0.020833,0.072917,0.013889,0.041667,0.229167,0.402778,0.513889,0.617208,0.019247,0.277778,0.416176,48
