method,split,stress_level,seed,success,containment_rate,cascade_rate,state_corruption,subgoal_corruption,damage_rate,false_halt,missed_failure,recovery_success,escalation_precision,containment_latency,ece,regret,utility,groups
anomaly_transformer_attribution,stress_01,0.15,2,0.663194,0.46875,0.125,0.048611,0.045139,0.020833,0.041667,0.253472,0.371528,0.597222,0.616914,0.019114,0.246528,0.378287,48
anomaly_transformer_attribution,stress_01,0.15,3,0.645833,0.506944,0.09375,0.072917,0.041667,0.017361,0.055556,0.166667,0.402778,0.597222,0.61862,0.019338,0.25,0.41218,48
anomaly_transformer_attribution,stress_01,0.15,4,0.659722,0.465278,0.118056,0.052083,0.065972,0.027778,0.041667,0.194444,0.364583,0.579861,0.617832,0.019064,0.288195,0.385819,48
anomaly_transformer_attribution,stress_01,0.15,5,0.652778,0.416667,0.09375,0.0625,0.038194,0.03125,0.048611,0.190972,0.413194,0.538194,0.618652,0.018841,0.28125,0.392444,48
anomaly_transformer_attribution,stress_01,0.15,6,0.725694,0.489583,0.121528,0.055556,0.052083,0.03125,0.059028,0.197917,0.420139,0.572917,0.61644,0.019239,0.201389,0.4476,48
anomaly_transformer_attribution,stress_01,0.15,7,0.684028,0.5,0.111111,0.034722,0.045139,0.027778,0.059028,0.263889,0.378472,0.583333,0.617662,0.019228,0.239583,0.398579,48
anomaly_transformer_attribution,stress_01,0.15,8,0.677083,0.440972,0.125,0.069444,0.041667,0.017361,0.041667,0.152778,0.375,0.534722,0.618036,0.020051,0.28125,0.426958,48
anomaly_transformer_attribution,stress_01,0.15,9,0.704861,0.440972,0.125,0.034722,0.034722,0.020833,0.072917,0.194444,0.364583,0.590278,0.618692,0.019124,0.225695,0.441704,48
anomaly_transformer_attribution,stress_02,0.25,0,0.677083,0.4375,0.125,0.0625,0.038194,0.027778,0.045139,0.263889,0.381944,0.607639,0.636517,0.028103,0.225695,0.368681,48
anomaly_transformer_attribution,stress_02,0.25,1,0.645833,0.520833,0.100694,0.048611,0.069444,0.017361,0.041667,0.194444,0.368056,0.59375,0.637251,0.028307,0.267361,0.397111,48
anomaly_transformer_attribution,stress_02,0.25,2,0.65625,0.465278,0.142361,0.052083,0.072917,0.034722,0.041667,0.201389,0.368056,0.565972,0.636852,0.028363,0.291667,0.349849,48
anomaly_transformer_attribution,stress_02,0.25,3,0.677083,0.416667,0.097222,0.065972,0.034722,0.034722,0.041667,0.194444,0.402778,0.520833,0.638355,0.027659,0.25,0.407209,48
anomaly_transformer_attribution,stress_02,0.25,4,0.708333,0.482639,0.128472,0.048611,0.052083,0.038194,0.055556,0.190972,0.371528,0.579861,0.635729,0.028267,0.229167,0.419851,48
anomaly_transformer_attribution,stress_02,0.25,5,0.645833,0.506944,0.142361,0.045139,0.048611,0.024306,0.059028,0.270833,0.371528,0.565972,0.637254,0.028097,0.277778,0.330301,48
anomaly_transformer_attribution,stress_02,0.25,6,0.684028,0.4375,0.121528,0.083333,0.041667,0.024306,0.048611,0.194444,0.381944,0.520833,0.636934,0.029095,0.270833,0.39521,48
anomaly_transformer_attribution,stress_02,0.25,7,0.663194,0.465278,0.125,0.041667,0.038194,0.027778,0.065972,0.194444,0.371528,0.576389,0.638228,0.028116,0.267362,0.389454,48
anomaly_transformer_attribution,stress_02,0.25,8,0.625,0.385417,0.159722,0.059028,0.038194,0.027778,0.052083,0.184028,0.326389,0.520833,0.637904,0.028034,0.284722,0.317433,48
anomaly_transformer_attribution,stress_02,0.25,9,0.621528,0.454861,0.128472,0.024306,0.055556,0.017361,0.045139,0.236111,0.399306,0.586806,0.63651,0.028202,0.284722,0.349483,48
anomaly_transformer_attribution,stress_03,0.35,0,0.690972,0.458333,0.163194,0.055556,0.0625,0.041667,0.0625,0.211806,0.392361,0.5625,0.657064,0.037947,0.25,0.350552,48
anomaly_transformer_attribution,stress_03,0.35,1,0.690972,0.423611,0.111111,0.079861,0.045139,0.034722,0.072917,0.25,0.385417,0.527778,0.657385,0.037442,0.232639,0.357249,48
anomaly_transformer_attribution,stress_03,0.35,2,0.673611,0.447917,0.145833,0.045139,0.041667,0.045139,0.059028,0.229167,0.378472,0.579861,0.655479,0.037951,0.260417,0.347943,48
anomaly_transformer_attribution,stress_03,0.35,3,0.614583,0.517361,0.152778,0.059028,0.069444,0.013889,0.055556,0.25,0.385417,0.53125,0.656823,0.037569,0.319445,0.294668,48
anomaly_transformer_attribution,stress_03,0.35,4,0.666667,0.447917,0.142361,0.083333,0.052083,0.024306,0.041667,0.236111,0.392361,0.510417,0.655704,0.038514,0.274305,0.342033,48
anomaly_transformer_attribution,stress_03,0.35,5,0.684028,0.472222,0.131944,0.045139,0.055556,0.045139,0.076389,0.204861,0.371528,0.559028,0.65716,0.037744,0.253472,0.365096,48
anomaly_transformer_attribution,stress_03,0.35,6,0.631944,0.402778,0.166667,0.065972,0.03125,0.041667,0.048611,0.215278,0.3125,0.53125,0.65716,0.037857,0.277778,0.289893,48
anomaly_transformer_attribution,stress_03,0.35,7,0.611111,0.454861,0.125,0.03125,0.059028,0.017361,0.048611,0.232639,0.399306,0.590278,0.655194,0.037995,0.284722,0.332688,48
anomaly_transformer_attribution,stress_03,0.35,8,0.635417,0.461806,0.131944,0.0625,0.059028,0.013889,0.059028,0.263889,0.381944,0.579861,0.656459,0.037584,0.291666,0.319433,48
anomaly_transformer_attribution,stress_03,0.35,9,0.711806,0.472222,0.131944,0.048611,0.069444,0.034722,0.055556,0.225694,0.364583,0.576389,0.655698,0.037965,0.236111,0.395561,48
anomaly_transformer_attribution,stress_04,0.45,0,0.628472,0.413194,0.149306,0.055556,0.038194,0.055556,0.045139,0.246528,0.357639,0.5625,0.674957,0.047896,0.298611,0.274456,48
anomaly_transformer_attribution,stress_04,0.45,1,0.618056,0.5,0.152778,0.069444,0.065972,0.020833,0.059028,0.270833,0.40625,0.506944,0.676008,0.047611,0.315972,0.270835,48
anomaly_transformer_attribution,stress_04,0.45,2,0.673611,0.472222,0.145833,0.104167,0.055556,0.024306,0.052083,0.246528,0.392361,0.513889,0.674834,0.047961,0.263889,0.323867,48
anomaly_transformer_attribution,stress_04,0.45,3,0.694444,0.458333,0.135417,0.059028,0.052083,0.055556,0.065972,0.211806,0.375,0.552083,0.676042,0.047666,0.229167,0.352964,48
anomaly_transformer_attribution,stress_04,0.45,4,0.628472,0.420139,0.180556,0.079861,0.048611,0.038194,0.045139,0.229167,0.305556,0.559028,0.675455,0.047606,0.284722,0.26027,48
anomaly_transformer_attribution,stress_04,0.45,5,0.607639,0.447917,0.145833,0.045139,0.072917,0.03125,0.048611,0.232639,0.361111,0.572917,0.675331,0.048024,0.284722,0.280074,48
anomaly_transformer_attribution,stress_04,0.45,6,0.600694,0.444444,0.128472,0.069444,0.045139,0.020833,0.048611,0.284722,0.395833,0.545139,0.676045,0.047439,0.326389,0.271371,48
anomaly_transformer_attribution,stress_04,0.45,7,0.697917,0.479167,0.138889,0.055556,0.065972,0.03125,0.065972,0.211806,0.368056,0.579861,0.674151,0.047698,0.236111,0.378421,48
anomaly_transformer_attribution,stress_04,0.45,8,0.631944,0.427083,0.145833,0.055556,0.065972,0.027778,0.055556,0.222222,0.385417,0.489583,0.675607,0.047651,0.277778,0.303336,48
anomaly_transformer_attribution,stress_04,0.45,9,0.604167,0.479167,0.166667,0.055556,0.0625,0.03125,0.0625,0.284722,0.402778,0.527778,0.67515,0.048412,0.333333,0.237078,48
anomaly_transformer_attribution,stress_05,0.55,0,0.677083,0.475694,0.142361,0.090278,0.059028,0.027778,0.0625,0.263889,0.395833,0.513889,0.693612,0.057777,0.260417,0.316373,48
anomaly_transformer_attribution,stress_05,0.55,1,0.659722,0.451389,0.152778,0.059028,0.076389,0.059028,0.072917,0.204861,0.375,0.520833,0.695659,0.057616,0.277778,0.287207,48
anomaly_transformer_attribution,stress_05,0.55,2,0.607639,0.447917,0.180556,0.086806,0.055556,0.041667,0.048611,0.256944,0.315972,0.552083,0.695019,0.057778,0.305555,0.214343,48
anomaly_transformer_attribution,stress_05,0.55,3,0.625,0.479167,0.138889,0.059028,0.072917,0.027778,0.059028,0.236111,0.340278,0.569444,0.694861,0.057918,0.270833,0.289857,48
anomaly_transformer_attribution,stress_05,0.55,4,0.597222,0.409722,0.121528,0.076389,0.076389,0.027778,0.045139,0.302083,0.378472,0.53125,0.694568,0.057103,0.336806,0.231519,48
anomaly_transformer_attribution,stress_05,0.55,5,0.684028,0.482639,0.138889,0.055556,0.072917,0.048611,0.069444,0.243056,0.354167,0.569444,0.693629,0.057723,0.229166,0.322632,48
anomaly_transformer_attribution,stress_05,0.55,6,0.635417,0.392361,0.149306,0.076389,0.069444,0.041667,0.048611,0.263889,0.378472,0.493056,0.695384,0.057726,0.288194,0.253552,48
anomaly_transformer_attribution,stress_05,0.55,7,0.604167,0.472222,0.159722,0.045139,0.083333,0.041667,0.079861,0.322917,0.354167,0.520833,0.6948,0.057968,0.322916,0.193341,48
anomaly_transformer_attribution,stress_05,0.55,8,0.649306,0.420139,0.163194,0.090278,0.072917,0.041667,0.045139,0.232639,0.368056,0.527778,0.695,0.057473,0.28125,0.269356,48
anomaly_transformer_attribution,stress_05,0.55,9,0.604167,0.465278,0.15625,0.041667,0.069444,0.045139,0.076389,0.256944,0.381944,0.572917,0.693788,0.057671,0.333333,0.235555,48
anomaly_transformer_attribution,stress_06,0.65,0,0.59375,0.465278,0.173611,0.09375,0.069444,0.041667,0.065972,0.260417,0.291667,0.541667,0.714563,0.067687,0.322917,0.181539,48
anomaly_transformer_attribution,stress_06,0.65,1,0.621528,0.454861,0.145833,0.065972,0.072917,0.024306,0.079861,0.25,0.315972,0.559028,0.714585,0.067947,0.277778,0.258165,48
anomaly_transformer_attribution,stress_06,0.65,2,0.569444,0.444444,0.118056,0.065972,0.086806,0.038194,0.041667,0.3125,0.375,0.548611,0.714226,0.066828,0.364584,0.193127,48
anomaly_transformer_attribution,stress_06,0.65,3,0.645833,0.479167,0.149306,0.0625,0.090278,0.052083,0.083333,0.277778,0.371528,0.576389,0.713247,0.067757,0.253473,0.238107,48
anomaly_transformer_attribution,stress_06,0.65,4,0.652778,0.413194,0.159722,0.086806,0.069444,0.034722,0.059028,0.263889,0.357639,0.489583,0.715912,0.067682,0.277778,0.258451,48
anomaly_transformer_attribution,stress_06,0.65,5,0.586806,0.451389,0.1875,0.052083,0.076389,0.045139,0.090278,0.333333,0.350694,0.513889,0.71449,0.06753,0.340277,0.138937,48
anomaly_transformer_attribution,stress_06,0.65,6,0.631944,0.440972,0.180556,0.09375,0.076389,0.052083,0.048611,0.229167,0.357639,0.527778,0.714192,0.067533,0.295139,0.224857,48
anomaly_transformer_attribution,stress_06,0.65,7,0.59375,0.465278,0.166667,0.0625,0.086806,0.052083,0.079861,0.267361,0.347222,0.576389,0.713595,0.067385,0.361111,0.179998,48
anomaly_transformer_attribution,stress_06,0.65,8,0.621528,0.465278,0.152778,0.086806,0.100694,0.017361,0.09375,0.246528,0.40625,0.517361,0.714932,0.067699,0.3125,0.238244,48
anomaly_transformer_attribution,stress_06,0.65,9,0.631944,0.475694,0.149306,0.072917,0.104167,0.045139,0.045139,0.329861,0.3125,0.506944,0.716039,0.067551,0.267362,0.204555,48
anomaly_transformer_attribution,stress_07,0.75,0,0.572917,0.4375,0.131944,0.059028,0.097222,0.038194,0.055556,0.340278,0.364583,0.545139,0.731502,0.076247,0.361111,0.163282,48
anomaly_transformer_attribution,stress_07,0.75,1,0.638889,0.486111,0.152778,0.0625,0.086806,0.059028,0.083333,0.305556,0.336806,0.579861,0.730997,0.077282,0.267361,0.205735,48
anomaly_transformer_attribution,stress_07,0.75,2,0.611111,0.420139,0.159722,0.086806,0.069444,0.038194,0.072917,0.277778,0.371528,0.510417,0.733022,0.07696,0.315972,0.200078,48
anomaly_transformer_attribution,stress_07,0.75,3,0.572917,0.440972,0.208333,0.048611,0.090278,0.041667,0.111111,0.357639,0.322917,0.489583,0.731283,0.076626,0.347222,0.083778,48
anomaly_transformer_attribution,stress_07,0.75,4,0.611111,0.454861,0.194444,0.104167,0.083333,0.045139,0.065972,0.260417,0.340278,0.534722,0.731568,0.07714,0.305556,0.169204,48
anomaly_transformer_attribution,stress_07,0.75,5,0.628472,0.451389,0.166667,0.072917,0.09375,0.052083,0.069444,0.284722,0.326389,0.569444,0.730493,0.076653,0.315972,0.196182,48
anomaly_transformer_attribution,stress_07,0.75,6,0.621528,0.430556,0.166667,0.090278,0.107639,0.020833,0.104167,0.270833,0.395833,0.496528,0.7322,0.077124,0.309028,0.196732,48
anomaly_transformer_attribution,stress_07,0.75,7,0.638889,0.458333,0.15625,0.076389,0.114583,0.052083,0.059028,0.336806,0.274306,0.461806,0.734203,0.077,0.256944,0.174239,48
anomaly_transformer_attribution,stress_07,0.75,8,0.607639,0.493056,0.142361,0.0625,0.076389,0.038194,0.052083,0.319444,0.371528,0.545139,0.73095,0.07686,0.315972,0.216713,48
anomaly_transformer_attribution,stress_07,0.75,9,0.65625,0.4375,0.204861,0.09375,0.045139,0.048611,0.072917,0.305556,0.368056,0.517361,0.732807,0.076699,0.256944,0.202868,48
anomaly_transformer_attribution,stress_08,0.85,0,0.618056,0.4375,0.184028,0.097222,0.069444,0.041667,0.086806,0.284722,0.364583,0.510417,0.74833,0.085994,0.291666,0.171847,48
anomaly_transformer_attribution,stress_08,0.85,1,0.559028,0.409722,0.229167,0.059028,0.100694,0.052083,0.114583,0.385417,0.309028,0.489583,0.746118,0.08566,0.350694,0.01426,48
anomaly_transformer_attribution,stress_08,0.85,2,0.607639,0.416667,0.204861,0.104167,0.083333,0.048611,0.065972,0.277778,0.364583,0.489583,0.747408,0.08632,0.309028,0.140485,48
anomaly_transformer_attribution,stress_08,0.85,3,0.649306,0.430556,0.159722,0.086806,0.097222,0.052083,0.065972,0.336806,0.3125,0.548611,0.745401,0.085663,0.284722,0.182951,48
anomaly_transformer_attribution,stress_08,0.85,4,0.642361,0.427083,0.190972,0.09375,0.111111,0.017361,0.09375,0.326389,0.413194,0.493056,0.746806,0.086148,0.291667,0.179635,48
anomaly_transformer_attribution,stress_08,0.85,5,0.65625,0.447917,0.177083,0.072917,0.118056,0.041667,0.059028,0.350694,0.263889,0.46875,0.748333,0.08598,0.243056,0.179282,48
anomaly_transformer_attribution,stress_08,0.85,6,0.579861,0.472222,0.159722,0.065972,0.086806,0.048611,0.072917,0.336806,0.34375,0.510417,0.746217,0.085825,0.340278,0.134969,48
anomaly_transformer_attribution,stress_08,0.85,7,0.631944,0.416667,0.194444,0.097222,0.055556,0.048611,0.083333,0.291667,0.399306,0.489583,0.747681,0.085631,0.256945,0.176196,48
anomaly_transformer_attribution,stress_08,0.85,8,0.600694,0.434028,0.184028,0.090278,0.107639,0.045139,0.0625,0.385417,0.34375,0.486111,0.747115,0.085897,0.284723,0.09873,48
anomaly_transformer_attribution,stress_08,0.85,9,0.59375,0.430556,0.15625,0.079861,0.086806,0.052083,0.0625,0.375,0.385417,0.503472,0.744229,0.085933,0.277778,0.125399,48
anomaly_transformer_attribution,stress_09,0.95,0,0.611111,0.395833,0.211806,0.104167,0.100694,0.045139,0.072917,0.288194,0.371528,0.46875,0.76176,0.09527,0.298611,0.122163,48
anomaly_transformer_attribution,stress_09,0.95,1,0.611111,0.427083,0.166667,0.100694,0.104167,0.052083,0.065972,0.354167,0.322917,0.5,0.760591,0.094867,0.322917,0.11723,48
anomaly_transformer_attribution,stress_09,0.95,2,0.600694,0.409722,0.1875,0.100694,0.107639,0.03125,0.090278,0.364583,0.402778,0.496528,0.760806,0.095385,0.322917,0.102238,48
anomaly_transformer_attribution,stress_09,0.95,3,0.649306,0.434028,0.184028,0.097222,0.100694,0.045139,0.072917,0.378472,0.28125,0.451389,0.763312,0.094839,0.243055,0.13658,48
anomaly_transformer_attribution,stress_09,0.95,4,0.576389,0.489583,0.15625,0.069444,0.097222,0.0625,0.086806,0.368056,0.350694,0.496528,0.761842,0.09476,0.340278,0.090737,48
anomaly_transformer_attribution,stress_09,0.95,5,0.638889,0.420139,0.1875,0.100694,0.059028,0.048611,0.076389,0.295139,0.385417,0.5,0.761371,0.094581,0.21875,0.18263,48
anomaly_transformer_attribution,stress_09,0.95,6,0.604167,0.4375,0.173611,0.086806,0.121528,0.055556,0.052083,0.364583,0.329861,0.475694,0.761104,0.094864,0.277777,0.103655,48
anomaly_transformer_attribution,stress_09,0.95,7,0.569444,0.440972,0.180556,0.086806,0.083333,0.065972,0.055556,0.388889,0.378472,0.503472,0.759321,0.094974,0.302084,0.063726,48
anomaly_transformer_attribution,stress_09,0.95,8,0.548611,0.413194,0.173611,0.09375,0.097222,0.052083,0.072917,0.298611,0.364583,0.486111,0.762855,0.094777,0.350695,0.080434,48
anomaly_transformer_attribution,stress_09,0.95,9,0.635417,0.479167,0.131944,0.125,0.107639,0.052083,0.055556,0.28125,0.392361,0.541667,0.761431,0.094793,0.229166,0.198434,48
causal_event_graph_containment,stress_00,0.05,0,0.725694,0.545139,0.100694,0.017361,0.020833,0.006944,0.017361,0.166667,0.4375,0.611111,0.559263,0.003213,0.208334,0.571686,48
causal_event_graph_containment,stress_00,0.05,1,0.743056,0.503472,0.065972,0.013889,0.027778,0.006944,0.024306,0.131944,0.503472,0.545139,0.558658,0.003192,0.184027,0.61973,48
causal_event_graph_containment,stress_00,0.05,2,0.753472,0.524306,0.090278,0.017361,0.041667,0.006944,0.017361,0.149306,0.472222,0.625,0.559448,0.003085,0.190972,0.605135,48
causal_event_graph_containment,stress_00,0.05,3,0.71875,0.565972,0.041667,0.041667,0.034722,0.006944,0.03125,0.149306,0.458333,0.638889,0.560131,0.003296,0.236111,0.588384,48
causal_event_graph_containment,stress_00,0.05,4,0.715278,0.513889,0.121528,0.020833,0.017361,0.003472,0.003472,0.180556,0.479167,0.65625,0.558127,0.003322,0.197916,0.553124,48
causal_event_graph_containment,stress_00,0.05,5,0.739583,0.545139,0.086806,0.017361,0.027778,0.0,0.027778,0.111111,0.458333,0.618056,0.560038,0.003146,0.138889,0.620902,48
causal_event_graph_containment,stress_00,0.05,6,0.711806,0.541667,0.09375,0.017361,0.020833,0.013889,0.027778,0.163194,0.402778,0.625,0.559041,0.003268,0.232638,0.54964,48
causal_event_graph_containment,stress_00,0.05,7,0.767361,0.482639,0.076389,0.027778,0.020833,0.010417,0.024306,0.211806,0.465278,0.59375,0.559056,0.003205,0.173611,0.590014,48
causal_event_graph_containment,stress_00,0.05,8,0.743056,0.513889,0.083333,0.017361,0.041667,0.0,0.038194,0.197917,0.475694,0.631944,0.558121,0.003063,0.197916,0.574417,48
causal_event_graph_containment,stress_00,0.05,9,0.763889,0.53125,0.069444,0.010417,0.024306,0.013889,0.010417,0.159722,0.409722,0.583333,0.559571,0.003205,0.166667,0.625754,48
causal_event_graph_containment,stress_01,0.15,0,0.75,0.5,0.09375,0.027778,0.052083,0.006944,0.024306,0.173611,0.465278,0.604167,0.578998,0.003281,0.204861,0.568192,48
causal_event_graph_containment,stress_01,0.15,1,0.715278,0.565972,0.052083,0.045139,0.041667,0.006944,0.024306,0.166667,0.447917,0.635417,0.579112,0.003464,0.239583,0.564908,48
causal_event_graph_containment,stress_01,0.15,2,0.715278,0.541667,0.135417,0.03125,0.041667,0.003472,0.010417,0.190972,0.475694,0.625,0.577803,0.003327,0.194444,0.518466,48
causal_event_graph_containment,stress_01,0.15,3,0.729167,0.545139,0.104167,0.017361,0.038194,0.0,0.027778,0.138889,0.416667,0.628472,0.57829,0.003356,0.166666,0.577101,48
causal_event_graph_containment,stress_01,0.15,4,0.708333,0.517361,0.100694,0.020833,0.024306,0.013889,0.034722,0.159722,0.413194,0.635417,0.578389,0.003454,0.239584,0.532822,48
causal_event_graph_containment,stress_01,0.15,5,0.704861,0.475694,0.072917,0.041667,0.027778,0.013889,0.020833,0.21875,0.475694,0.579861,0.578899,0.003376,0.229167,0.510285,48
causal_event_graph_containment,stress_01,0.15,6,0.71875,0.493056,0.090278,0.020833,0.034722,0.0,0.038194,0.215278,0.472222,0.65625,0.577481,0.003151,0.208333,0.535012,48
causal_event_graph_containment,stress_01,0.15,7,0.743056,0.493056,0.076389,0.010417,0.034722,0.006944,0.017361,0.190972,0.430556,0.600694,0.579287,0.003344,0.180555,0.581091,48
causal_event_graph_containment,stress_01,0.15,8,0.732639,0.534722,0.104167,0.010417,0.024306,0.0,0.03125,0.159722,0.461806,0.65625,0.576454,0.003266,0.225694,0.583098,48
causal_event_graph_containment,stress_01,0.15,9,0.736111,0.576389,0.086806,0.017361,0.03125,0.003472,0.027778,0.152778,0.427083,0.552083,0.577354,0.003247,0.194445,0.588911,48
causal_event_graph_containment,stress_02,0.25,0,0.715278,0.5625,0.142361,0.027778,0.045139,0.003472,0.013889,0.190972,0.496528,0.621528,0.597567,0.004931,0.1875,0.513516,48
causal_event_graph_containment,stress_02,0.25,1,0.704861,0.506944,0.100694,0.027778,0.038194,0.010417,0.027778,0.173611,0.385417,0.604167,0.597791,0.004937,0.208333,0.512338,48
causal_event_graph_containment,stress_02,0.25,2,0.722222,0.524306,0.09375,0.020833,0.020833,0.024306,0.017361,0.163194,0.420139,0.597222,0.597476,0.005065,0.225695,0.544528,48
causal_event_graph_containment,stress_02,0.25,3,0.697917,0.5,0.083333,0.034722,0.027778,0.013889,0.020833,0.211806,0.454861,0.586806,0.597783,0.004983,0.229166,0.50244,48
causal_event_graph_containment,stress_02,0.25,4,0.715278,0.475694,0.090278,0.027778,0.045139,0.006944,0.034722,0.215278,0.447917,0.635417,0.59727,0.004919,0.222222,0.509923,48
causal_event_graph_containment,stress_02,0.25,5,0.739583,0.506944,0.107639,0.024306,0.038194,0.013889,0.020833,0.194444,0.40625,0.600694,0.598439,0.00513,0.184028,0.535662,48
causal_event_graph_containment,stress_02,0.25,6,0.694444,0.545139,0.100694,0.010417,0.041667,0.010417,0.024306,0.177083,0.444444,0.631944,0.595976,0.004898,0.260417,0.519196,48
causal_event_graph_containment,stress_02,0.25,7,0.722222,0.559028,0.090278,0.020833,0.027778,0.010417,0.027778,0.173611,0.447917,0.555556,0.596048,0.005003,0.208334,0.55274,48
causal_event_graph_containment,stress_02,0.25,8,0.743056,0.520833,0.0625,0.055556,0.020833,0.017361,0.027778,0.215278,0.378472,0.628472,0.598493,0.005129,0.166666,0.54262,48
causal_event_graph_containment,stress_02,0.25,9,0.684028,0.513889,0.111111,0.03125,0.03125,0.0,0.034722,0.166667,0.416667,0.555556,0.595891,0.005066,0.222222,0.498573,48
causal_event_graph_containment,stress_03,0.35,0,0.722222,0.506944,0.100694,0.03125,0.020833,0.024306,0.017361,0.194444,0.444444,0.59375,0.61723,0.009323,0.21875,0.516849,48
causal_event_graph_containment,stress_03,0.35,1,0.680556,0.513889,0.100694,0.038194,0.03125,0.013889,0.024306,0.239583,0.451389,0.565972,0.617319,0.009186,0.243055,0.453806,48
causal_event_graph_containment,stress_03,0.35,2,0.704861,0.479167,0.097222,0.03125,0.045139,0.006944,0.038194,0.21875,0.430556,0.631944,0.616376,0.009292,0.229167,0.486179,48
causal_event_graph_containment,stress_03,0.35,3,0.708333,0.496528,0.097222,0.041667,0.038194,0.013889,0.03125,0.229167,0.395833,0.600694,0.617529,0.009622,0.225695,0.476085,48
causal_event_graph_containment,stress_03,0.35,4,0.6875,0.524306,0.097222,0.034722,0.045139,0.013889,0.034722,0.180556,0.413194,0.611111,0.616033,0.009163,0.253472,0.481456,48
causal_event_graph_containment,stress_03,0.35,5,0.722222,0.53125,0.100694,0.03125,0.03125,0.013889,0.03125,0.232639,0.451389,0.555556,0.615463,0.009396,0.215278,0.50099,48
causal_event_graph_containment,stress_03,0.35,6,0.729167,0.517361,0.065972,0.055556,0.024306,0.017361,0.034722,0.222222,0.368056,0.607639,0.617787,0.009389,0.180555,0.513721,48
causal_event_graph_containment,stress_03,0.35,7,0.71875,0.517361,0.09375,0.038194,0.03125,0.0,0.045139,0.1875,0.395833,0.524306,0.614725,0.009538,0.177083,0.520741,48
causal_event_graph_containment,stress_03,0.35,8,0.725694,0.534722,0.145833,0.027778,0.020833,0.013889,0.052083,0.246528,0.427083,0.631944,0.616864,0.009485,0.201389,0.469255,48
causal_event_graph_containment,stress_03,0.35,9,0.704861,0.520833,0.111111,0.024306,0.024306,0.010417,0.024306,0.215278,0.423611,0.604167,0.617251,0.009519,0.243056,0.497546,48
causal_event_graph_containment,stress_04,0.45,0,0.690972,0.510417,0.107639,0.034722,0.03125,0.010417,0.034722,0.225694,0.4375,0.604167,0.635612,0.016024,0.236111,0.464402,48
causal_event_graph_containment,stress_04,0.45,1,0.690972,0.493056,0.111111,0.041667,0.027778,0.017361,0.03125,0.253472,0.399306,0.600694,0.635976,0.016422,0.243056,0.43683,48
causal_event_graph_containment,stress_04,0.45,2,0.694444,0.527778,0.09375,0.059028,0.0625,0.017361,0.027778,0.201389,0.399306,0.600694,0.63539,0.016047,0.243056,0.454963,48
causal_event_graph_containment,stress_04,0.45,3,0.708333,0.513889,0.128472,0.038194,0.027778,0.017361,0.03125,0.25,0.451389,0.538194,0.635024,0.015981,0.215278,0.450276,48
causal_event_graph_containment,stress_04,0.45,4,0.704861,0.538194,0.072917,0.052083,0.027778,0.024306,0.03125,0.239583,0.381944,0.583333,0.636817,0.016124,0.208333,0.470573,48
