ablation,seed,success,containment_rate,cascade_rate,state_corruption,subgoal_corruption,damage_rate,false_halt,missed_failure,recovery_success,escalation_precision,containment_latency,ece,regret,utility,groups
no_delayed_observation_buffer,0,0.770833,0.591146,0.072049,0.008681,0.019097,0.002604,0.008681,0.212674,0.509549,0.642361,0.583614,0.007035,0.066941,0.640756,192
no_delayed_observation_buffer,1,0.762153,0.565972,0.078125,0.017361,0.019097,0.002604,0.007812,0.189236,0.511285,0.649306,0.583091,0.006785,0.066916,0.632647,192
no_delayed_observation_buffer,2,0.768229,0.58941,0.078993,0.019097,0.019965,0.003472,0.007812,0.206597,0.50434,0.638889,0.583554,0.006761,0.066643,0.629426,192
no_delayed_observation_buffer,3,0.742188,0.59375,0.072917,0.021701,0.020833,0.001736,0.016493,0.219618,0.471354,0.647569,0.584102,0.007103,0.066730,0.595767,192
no_delayed_observation_buffer,4,0.738715,0.584201,0.078993,0.019097,0.027778,0.005208,0.012153,0.194444,0.512153,0.670139,0.583437,0.006908,0.066754,0.599493,192
no_delayed_observation_buffer,5,0.763021,0.588542,0.06684,0.027778,0.018229,0.002604,0.007812,0.205729,0.488715,0.637153,0.583851,0.007074,0.067208,0.62785,192
no_delayed_observation_buffer,6,0.75,0.610243,0.05816,0.016493,0.020833,0.002604,0.010417,0.197049,0.506944,0.651042,0.583448,0.006837,0.066698,0.632167,192
no_delayed_observation_buffer,7,0.767361,0.595486,0.068576,0.017361,0.030382,0.003472,0.012153,0.188368,0.46875,0.631944,0.583093,0.00679,0.066309,0.635555,192
no_delayed_observation_buffer,8,0.765625,0.586806,0.070312,0.018229,0.030382,0.00434,0.00434,0.223958,0.502604,0.652778,0.583766,0.006949,0.067147,0.620654,192
no_delayed_observation_buffer,9,0.762153,0.584201,0.077257,0.018229,0.017361,0.005208,0.006076,0.211806,0.514757,0.643229,0.583016,0.006838,0.066589,0.623071,192
no_escalation_utility_model,0,0.765625,0.609375,0.073785,0.022569,0.015625,0.00434,0.019097,0.172743,0.469618,0.612847,0.583608,0.006828,0.064503,0.639428,192
no_escalation_utility_model,1,0.761285,0.600694,0.072049,0.010417,0.018229,0.000868,0.013021,0.204861,0.479167,0.610243,0.583448,0.006791,0.064753,0.632746,192
no_escalation_utility_model,2,0.749132,0.600694,0.073785,0.013021,0.015625,0.002604,0.020833,0.190972,0.507812,0.611111,0.582683,0.00682,0.064467,0.622584,192
no_escalation_utility_model,3,0.778646,0.592014,0.0625,0.013021,0.018229,0.000868,0.017361,0.206597,0.475694,0.602431,0.583556,0.006837,0.064571,0.650411,192
no_escalation_utility_model,4,0.756944,0.618924,0.078993,0.014757,0.019097,0.0,0.021701,0.190104,0.481771,0.580729,0.584009,0.006779,0.064965,0.626017,192
no_escalation_utility_model,5,0.759549,0.600694,0.06684,0.010417,0.013021,0.000868,0.020833,0.182292,0.496528,0.62934,0.583699,0.006804,0.064462,0.645561,192
